Plate ID,Well ,Sample ID,User ID,Date ,Time ,Conc. ,Units ,A260 ,A280 ,260/280 ,260/230 ,Conc. Factor (ng/ul),Cursor Pos.,Cursor abs.,340 raw,NA Type
Plate1_RNA,B4,,Default,02/25/21,11:29:00 AM,15.91,ng/ul,0.398,0.216,1.84,1.2,40,260,0.398,0.372,RNA-40
Plate1_RNA,C4,,Default,02/25/21,11:29:00 AM,14.81,ng/ul,0.37,0.181,2.05,1,40,260,0.37,2.026,RNA-40
Plate1_RNA,D4,,Default,02/25/21,11:29:00 AM,14.41,ng/ul,0.36,0.178,2.02,1.98,40,260,0.36,0.043,RNA-40
Plate1_RNA,E4,,Default,02/25/21,11:29:00 AM,19.35,ng/ul,0.484,0.262,1.85,1.04,40,260,0.484,0.225,RNA-40
Plate1_RNA,F4,,Default,02/25/21,11:29:00 AM,12.87,ng/ul,0.322,0.162,1.98,1.2,40,260,0.322,0.113,RNA-40
Plate1_RNA,G4,,Default,02/25/21,11:29:00 AM,9.245,ng/ul,0.231,0.13,1.78,1.67,40,260,0.231,0.104,RNA-40
Plate1_RNA,H4,,Default,02/25/21,11:29:00 AM,8.56,ng/ul,0.214,0.128,1.68,1.19,40,260,0.214,0.098,RNA-40
Plate1_RNA,A5,,Default,02/25/21,11:30:00 AM,20.62,ng/ul,0.515,0.253,2.04,3.36,40,260,0.515,0.148,RNA-40
Plate1_RNA,B5,,Default,02/25/21,11:30:00 AM,17.72,ng/ul,0.443,0.226,1.96,1.29,40,260,0.443,0.173,RNA-40
Plate1_RNA,C5,,Default,02/25/21,11:30:00 AM,30.94,ng/ul,0.773,0.379,2.04,1.81,40,260,0.773,0.134,RNA-40
Plate1_RNA,D5,,Default,02/25/21,11:30:00 AM,29.62,ng/ul,0.74,0.372,1.99,1.62,40,260,0.74,0.183,RNA-40
Plate1_RNA,E5,,Default,02/25/21,11:30:00 AM,22.81,ng/ul,0.57,0.295,1.94,1.18,40,260,0.57,0.218,RNA-40
Plate1_RNA,F5,,Default,02/25/21,11:30:00 AM,30.79,ng/ul,0.77,0.367,2.1,1.54,40,260,0.77,0.182,RNA-40
Plate1_RNA,G5,,Default,02/25/21,11:30:00 AM,11.24,ng/ul,0.281,0.137,2.06,1.5,40,260,0.281,0.099,RNA-40
Plate1_RNA,H5,,Default,02/25/21,11:30:00 AM,22.82,ng/ul,0.571,0.267,2.14,2.13,40,260,0.571,0.081,RNA-40
Plate1_RNA,A6,,Default,02/25/21,11:32:00 AM,12.8,ng/ul,0.32,0.183,1.75,2.03,40,260,0.32,0.174,RNA-40
Plate1_RNA,B6,,Default,02/25/21,11:32:00 AM,32.14,ng/ul,0.803,0.399,2.02,1.68,40,260,0.803,0.104,RNA-40
Plate1_RNA,C6,,Default,02/25/21,11:32:00 AM,16.28,ng/ul,0.407,0.218,1.86,1.44,40,260,0.407,0.564,RNA-40
Plate1_RNA,D6,,Default,02/25/21,11:32:00 AM,23.7,ng/ul,0.592,0.308,1.92,1.44,40,260,0.592,0.16,RNA-40
Plate1_RNA,E6,,Default,02/25/21,11:32:00 AM,36.36,ng/ul,0.909,0.448,2.03,1.76,40,260,0.909,0.148,RNA-40
Plate1_RNA,F6,,Default,02/25/21,11:32:00 AM,60.34,ng/ul,1.509,1.119,1.35,0.67,40,260,1.509,24.242,RNA-40
Plate1_RNA,G6,,Default,02/25/21,11:32:00 AM,17.86,ng/ul,0.446,0.211,2.12,1.86,40,260,0.446,0.095,RNA-40
Plate1_RNA,H6,,Default,02/25/21,11:32:00 AM,12.62,ng/ul,0.315,0.159,1.98,2.19,40,260,0.315,0.08,RNA-40
Plate1_RNA,A7,,Default,02/25/21,11:33:00 AM,23.3,ng/ul,0.583,0.328,1.78,1.11,40,260,0.583,0.423,RNA-40
Plate1_RNA,B7,,Default,02/25/21,11:33:00 AM,31.26,ng/ul,0.782,0.409,1.91,1.02,40,260,0.782,0.285,RNA-40
Plate1_RNA,C7,,Default,02/25/21,11:33:00 AM,26.73,ng/ul,0.668,0.371,1.8,0.87,40,260,0.668,0.329,RNA-40
Plate1_RNA,D7,,Default,02/25/21,11:33:00 AM,13.63,ng/ul,0.341,0.215,1.58,0.74,40,260,0.341,0.475,RNA-40
Plate1_RNA,E7,,Default,02/25/21,11:33:00 AM,24.64,ng/ul,0.616,0.318,1.94,1.16,40,260,0.616,0.172,RNA-40
Plate1_RNA,F7,,Default,02/25/21,11:33:00 AM,27.89,ng/ul,0.697,0.345,2.02,1.31,40,260,0.697,0.107,RNA-40
