Plate ID	Well 	Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	NA Type
	A1	P2_1	Default	2/9/2021	5:38 PM	69.88	ng/ul	1.747	0.844	2.07	1.68	40.00	260	1.747	0.323	RNA-40
	B1	P2_2	Default	2/9/2021	5:38 PM	14.89	ng/ul	0.372	0.168	2.22	1.79	40.00	260	0.372	0.019	RNA-40
	C1	P2_3	Default	2/9/2021	5:38 PM	15.10	ng/ul	0.377	0.167	2.26	1.85	40.00	260	0.377	0.081	RNA-40
	D1	P2_4	Default	2/9/2021	5:38 PM	29.29	ng/ul	0.732	0.337	2.17	1.98	40.00	260	0.732	0.064	RNA-40
	E1	P2_5	Default	2/9/2021	5:38 PM	35.14	ng/ul	0.879	0.415	2.12	1.77	40.00	260	0.879	0.143	RNA-40
	F1	P2_6	Default	2/9/2021	5:38 PM	43.78	ng/ul	1.094	0.552	1.98	1.43	40.00	260	1.094	0.525	RNA-40
	G1	P2_7	Default	2/9/2021	5:38 PM	20.77	ng/ul	0.519	0.242	2.14	1.97	40.00	260	0.519	0.085	RNA-40
	H1	P2_8	Default	2/9/2021	5:38 PM	62.99	ng/ul	1.575	0.798	1.97	1.21	40.00	260	1.575	0.908	RNA-40
	A2		Default	2/9/2021	5:44 PM	19.77	ng/ul	0.494	0.229	2.16	1.69	40.00	260	0.494	-0.007	RNA-40
	B2		Default	2/9/2021	5:44 PM	15.45	ng/ul	0.386	0.184	2.10	1.29	40.00	260	0.386	0.128	RNA-40
	C2		Default	2/9/2021	5:44 PM	23.78	ng/ul	0.594	0.273	2.18	1.76	40.00	260	0.594	0.070	RNA-40
	D2		Default	2/9/2021	5:44 PM	24.19	ng/ul	0.605	0.268	2.25	1.90	40.00	260	0.605	0.058	RNA-40
	E2		Default	2/9/2021	5:44 PM	9.294	ng/ul	0.232	0.088	2.63	1.87	40.00	260	0.232	0.069	RNA-40
	F2		Default	2/9/2021	5:44 PM	36.51	ng/ul	0.913	0.425	2.14	1.95	40.00	260	0.913	0.135	RNA-40
	G2		Default	2/9/2021	5:44 PM	14.83	ng/ul	0.371	0.164	2.26	1.95	40.00	260	0.371	0.048	RNA-40
	H2		Default	2/9/2021	5:44 PM	5.578	ng/ul	0.139	0.038	3.65	2.08	40.00	260	0.139	0.018	RNA-40
	A3		Default	2/9/2021	5:47 PM	43.96	ng/ul	1.099	0.629	1.75	0.80	40.00	260	1.099	1.203	RNA-40
	B3		Default	2/9/2021	5:47 PM	41.46	ng/ul	1.036	0.492	2.11	1.99	40.00	260	1.036	0.024	RNA-40
	C3		Default	2/9/2021	5:47 PM	33.46	ng/ul	0.836	0.382	2.19	2.03	40.00	260	0.836	0.058	RNA-40
	D3		Default	2/9/2021	5:47 PM	21.43	ng/ul	0.536	0.248	2.16	1.77	40.00	260	0.536	0.091	RNA-40
	E3		Default	2/9/2021	5:47 PM	37.56	ng/ul	0.939	0.426	2.21	2.10	40.00	260	0.939	0.068	RNA-40
	F3		Default	2/9/2021	5:47 PM	22.82	ng/ul	0.571	0.258	2.21	2.27	40.00	260	0.571	0.066	RNA-40
	G3		Default	2/9/2021	5:47 PM	9.787	ng/ul	0.245	0.108	2.26	1.89	40.00	260	0.245	0.042	RNA-40
	H3		Default	2/9/2021	5:47 PM	22.09	ng/ul	0.552	0.300	1.84	0.86	40.00	260	0.552	0.593	RNA-40
	A4		Default	2/9/2021	5:51 PM	10.91	ng/ul	0.273	0.118	2.30	1.85	40.00	260	0.273	0.022	RNA-40
	B4		Default	2/9/2021	5:51 PM	6.474	ng/ul	0.162	0.080	2.01	1.55	40.00	260	0.162	-0.014	RNA-40
	C4		Default	2/9/2021	5:51 PM	23.90	ng/ul	0.597	0.273	2.19	1.88	40.00	260	0.597	0.049	RNA-40
	D4		Default	2/9/2021	5:51 PM	32.01	ng/ul	0.800	0.363	2.21	1.38	40.00	260	0.800	0.043	RNA-40
	E4		Default	2/9/2021	5:51 PM	26.33	ng/ul	0.658	0.304	2.17	1.78	40.00	260	0.658	0.043	RNA-40
	F4		Default	2/9/2021	5:51 PM	18.13	ng/ul	0.453	0.211	2.15	1.85	40.00	260	0.453	0.085	RNA-40
	G4		Default	2/9/2021	5:51 PM	47.44	ng/ul	1.186	0.566	2.10	2.05	40.00	260	1.186	0.047	RNA-40
	H4		Default	2/9/2021	5:51 PM	41.28	ng/ul	1.032	0.473	2.18	2.09	40.00	260	1.032	0.043	RNA-40
	A5		Default	2/9/2021	5:54 PM	24.16	ng/ul	0.604	0.295	2.05	1.40	40.00	260	0.604	0.170	RNA-40
	B5		Default	2/9/2021	5:54 PM	14.50	ng/ul	0.363	0.167	2.18	1.79	40.00	260	0.363	0.006	RNA-40
	C5		Default	2/9/2021	5:54 PM	22.24	ng/ul	0.556	0.251	2.22	2.04	40.00	260	0.556	0.090	RNA-40
	D5		Default	2/9/2021	5:54 PM	19.78	ng/ul	0.494	0.222	2.22	2.13	40.00	260	0.494	0.049	RNA-40
	E5		Default	2/9/2021	5:54 PM	18.76	ng/ul	0.469	0.213	2.21	2.08	40.00	260	0.469	0.063	RNA-40
