Plate ID	Well 	Sample ID	User ID	Date 	Time 	Conc. 	Units 	A260 	A280 	260/280 	260/230 	Conc. Factor (ng/ul)	Cursor Pos.	Cursor abs.	340 raw	NA Type
Plate3_RNA_redoResistada	D9		Default	2/25/2021	6:45 PM	17.99	ng/ul	0.450	0.173	2.60	2.19	40.00	260	0.450	0.083	RNA-40
Plate3_RNA_redoResistada	E9		Default	2/25/2021	6:45 PM	14.83	ng/ul	0.371	0.152	2.44	1.80	40.00	260	0.371	0.110	RNA-40
Plate3_RNA_redoResistada	F9		Default	2/25/2021	6:45 PM	29.71	ng/ul	0.743	0.343	2.16	1.50	40.00	260	0.743	0.369	RNA-40
Plate3_RNA_redoResistada	G9		Default	2/25/2021	6:45 PM	13.69	ng/ul	0.342	0.128	2.68	1.64	40.00	260	0.342	0.064	RNA-40
Plate3_RNA_redoResistada	H9		Default	2/25/2021	6:45 PM	18.42	ng/ul	0.461	0.182	2.53	2.23	40.00	260	0.461	0.085	RNA-40
Plate3_RNA_redoResistada	A10		Default	2/25/2021	6:46 PM	47.95	ng/ul	1.199	0.626	1.91	1.04	40.00	260	1.199	1.243	RNA-40
Plate3_RNA_redoResistada	B10		Default	2/25/2021	6:46 PM	21.04	ng/ul	0.526	0.197	2.67	2.44	40.00	260	0.526	0.050	RNA-40
Plate3_RNA_redoResistada	C10		Default	2/25/2021	6:46 PM	16.12	ng/ul	0.403	0.158	2.55	2.47	40.00	260	0.403	0.021	RNA-40
Plate3_RNA_redoResistada	D10		Default	2/25/2021	6:46 PM	7.343	ng/ul	0.184	0.035	5.22	3.42	40.00	260	0.184	0.009	RNA-40
Plate3_RNA_redoResistada	E10		Default	2/25/2021	6:46 PM	23.54	ng/ul	0.589	0.242	2.43	2.20	40.00	260	0.589	0.106	RNA-40
Plate3_RNA_redoResistada	F10		Default	2/25/2021	6:46 PM	35.05	ng/ul	0.876	0.466	1.88	0.92	40.00	260	0.876	0.928	RNA-40
Plate3_RNA_redoResistada	G10		Default	2/25/2021	6:46 PM	18.02	ng/ul	0.451	0.182	2.48	2.01	40.00	260	0.451	0.107	RNA-40
Plate3_RNA_redoResistada	H10		Default	2/25/2021	6:46 PM	17.45	ng/ul	0.436	0.227	1.92	0.75	40.00	260	0.436	0.607	RNA-40
Plate3_RNA_redoResistada	A11		Default	2/25/2021	6:47 PM	22.05	ng/ul	0.551	0.302	1.83	0.79	40.00	260	0.551	0.978	RNA-40
Plate3_RNA_redoResistada	B11		Default	2/25/2021	6:47 PM	-0.5113	ng/ul	-0.013	-0.053	0.24	-0.02	40.00	260	-0.013	0.071	RNA-40
Plate3_RNA_redoResistada	C11		Default	2/25/2021	6:47 PM	1.213	ng/ul	0.030	-0.017	-1.81	-3.99	40.00	260	0.030	0.089	RNA-40
Plate3_RNA_redoResistada	D11		Default	2/25/2021	6:47 PM	3.257	ng/ul	0.081	-0.001	-131.16	0.66	40.00	260	0.081	0.202	RNA-40
Plate3_RNA_redoResistada	E11		Default	2/25/2021	6:47 PM	27.36	ng/ul	0.684	0.310	2.20	1.67	40.00	260	0.684	0.264	RNA-40
Plate3_RNA_redoResistada	F11		Default	2/25/2021	6:47 PM	45.40	ng/ul	1.135	0.641	1.77	0.81	40.00	260	1.135	1.428	RNA-40
Plate3_RNA_redoResistada	G11		Default	2/25/2021	6:47 PM	22.19	ng/ul	0.555	0.224	2.47	2.47	40.00	260	0.555	0.026	RNA-40
Plate3_RNA_redoResistada	H11		Default	2/25/2021	6:47 PM	32.94	ng/ul	0.823	0.375	2.19	1.22	40.00	260	0.823	0.492	RNA-40
Plate3_RNA_redoResistada	A11		Default	2/25/2021	6:48 PM	20.43	ng/ul	0.511	0.280	1.82	0.83	40.00	260	0.511	0.880	RNA-40
Plate3_RNA_redoResistada	B11		Default	2/25/2021	6:48 PM	-0.7136	ng/ul	-0.018	-0.050	0.36	-0.03	40.00	260	-0.018	0.069	RNA-40
Plate3_RNA_redoResistada	C11		Default	2/25/2021	6:48 PM	2.365	ng/ul	0.059	0.009	6.37	0.99	40.00	260	0.059	0.119	RNA-40
Plate3_RNA_redoResistada	D11		Default	2/25/2021	6:48 PM	2.624	ng/ul	0.066	-0.005	-13.89	0.56	40.00	260	0.066	0.045	RNA-40
Plate3_RNA_redoResistada	E11		Default	2/25/2021	6:48 PM	30.55	ng/ul	0.764	0.346	2.21	1.44	40.00	260	0.764	0.453	RNA-40
Plate3_RNA_redoResistada	F11		Default	2/25/2021	6:48 PM	46.31	ng/ul	1.158	0.651	1.78	0.80	40.00	260	1.158	1.463	RNA-40
Plate3_RNA_redoResistada	G11		Default	2/25/2021	6:48 PM	22.57	ng/ul	0.564	0.232	2.43	2.43	40.00	260	0.564	0.055	RNA-40
Plate3_RNA_redoResistada	H11		Default	2/25/2021	6:48 PM	35.38	ng/ul	0.885	0.420	2.10	1.23	40.00	260	0.885	0.531	RNA-40
Plate3_RNA_redoResistada	A12		Default	2/25/2021	6:49 PM	20.75	ng/ul	0.519	0.253	2.05	1.09	40.00	260	0.519	0.501	RNA-40
Plate3_RNA_redoResistada	B12		Default	2/25/2021	6:49 PM	25.72	ng/ul	0.643	0.339	1.90	0.83	40.00	260	0.643	0.789	RNA-40
Plate3_RNA_redoResistada	C12		Default	2/25/2021	6:49 PM	15.63	ng/ul	0.391	0.213	1.83	0.76	40.00	260	0.391	0.790	RNA-40
Plate3_RNA_redoResistada	D12		Default	2/25/2021	6:49 PM	16.47	ng/ul	0.412	0.193	2.14	0.89	40.00	260	0.412	0.509	RNA-40
Plate3_RNA_redoResistada	E12		Default	2/25/2021	6:49 PM	7.921	ng/ul	0.198	0.054	3.66	3.27	40.00	260	0.198	0.073	RNA-40
Plate3_RNA_redoResistada	F12		Default	2/25/2021	6:49 PM	5.797	ng/ul	0.145	0.049	2.97	0.68	40.00	260	0.145	0.211	RNA-40
Plate3_RNA_redoResistada	G12		Default	2/25/2021	6:49 PM	26.82	ng/ul	0.670	0.343	1.96	1.02	40.00	260	0.670	0.613	RNA-40
Plate3_RNA_redoResistada	H12		Default	2/25/2021	6:49 PM	23.70	ng/ul	0.593	0.265	2.23	1.33	40.00	260	0.593	0.436	RNA-40
