T_Type,Tag,T_AW,T_BW,Temperature,Salinity,
B,A058,16.2187,2.2861,27.53,33.2,
B,A059,16.2071,2.2877,27.53,33.2,
B,A060,16.0844,2.2345,27.47,33.2,
B,A061,16.3724,2.3023,27.46,33.2,
B,A062,16.3377,2.3046,27.44,33.2,
B,A063,16.3206,2.2897,27.26,33.2,
B,A064,16.3188,2.2904,27.25,33.2,
B,A065,16.3033,2.2792,27.25,33.2,
B,A066,16.2948,2.2933,27.24,33.2,
B,A067,16.2776,2.2546,27.23,33.2,
B,A068,16.2895,2.2946,27.23,33.2,
B,A069,16.2686,2.2967,27.22,33.2,
B,A070,16.2986,2.2718,27.21,33.2,
B,A071,16.3416,2.2825,27.2,33.2,
B,A072,16.3018,2.2965,27.09,33.2,
B,A073,16.3094,2.2829,27.09,33.2,
B,A074,16.2926,2.2976,27.1,33.2,
B,A075,16.2848,2.2921,27.09,33.2,
B,A076,16.2678,2.2641,27.06,33.2,
B,A077,16.2625,2.3016,27.05,33.2,
B,A078,16.2469,2.2904,27.05,33.2,
B,A079,16.2552,2.2704,27.04,33.2,
B,A080,16.1561,2.2786,26.99,33.2,
B,A081,16.3654,2.3131,26.99,33.2,
B,A082,16.3215,2.3006,26.99,33.2,
B,A083,16.3148,2.2679,26.98,33.2,
B,A084,16.3034,2.2596,26.97,33.2,
B,A085,16.2972,2.2847,26.96,33.2,
B,A086,16.2806,2.1849,26.96,33.2,
B,A087,16.2554,2.2897,26.96,33.2,
B,A088,16.2657,2.2959,26.95,33.2,
B,A089,16.2564,2.2944,26.95,33.2,
B,A090,16.2638,2.2996,26.95,33.2,
B,A091,16.3686,2.3109,26.94,33.2,
B,A092,16.3248,2.2956,26.93,33.2,
B,A093,16.3161,2.2963,26.93,33.2,
B,A094,16.3017,2.2977,26.91,33.2,
B,A095,16.3016,2.2939,26.9,33.2,
B,A096,16.2655,2.2689,26.89,33.2,
B,A097,16.2566,2.286,26.89,33.2,
B,A098,16.2704,2.2974,26.9,33.2,
B,A099,16.2492,2.2453,26.88,33.2,
B,A100,16.2432,2.236,26.85,33.2,
B,A101,16.3539,2.3102,26.85,33.2,
B,A103,16.3451,2.3028,26.84,33.2,
B,A102,16.3428,2.3049,26.85,33.2,
B,A104,16.3524,2.3123,26.85,33.2,
B,A105,16.3451,2.3097,26.84,33.2,
B,A106,16.3779,2.2156,26.84,33.2,
B,A107,16.3823,2.2906,26.83,33.2,
B,A108,16.4113,2.3188,26.82,33.2,
B,A109,16.4256,2.3066,26.81,33.2,
B,A110,16.4822,2.3335,26.82,33.2,
B,A111,16.3044,2.3107,26.81,33.2,
B,A112,16.2513,2.3038,26.8,33.2,
B,A113,16.3158,2.3015,26.8,33.2,
B,A114,16.3108,2.2865,26.79,33.2,
B,A115,16.33,2.3081,26.79,33.2,
B,A116,16.3438,2.2747,26.79,33.2,
B,A117,16.3447,2.3108,26.77,33.2,
B,A118,16.3776,2.3079,26.77,33.2,
B,A119,16.3815,2.3042,26.76,33.2,
B,A120,16.4292,2.3084,26.73,33.2,
B,A121,16.2871,2.2758,26.73,33.2,
B,A122,16.2903,2.2981,26.73,33.2,
B,A123,16.3043,2.2951,26.73,33.2,
B,A124,16.3064,2.2868,26.71,33.2,
B,A125,16.3172,2.2951,26.71,33.2,
B,A126,16.338,2.2943,26.71,33.2,
B,A127,16.3364,2.3124,26.71,33.2,
B,A128,16.3793,2.3044,26.7,33.2,
B,A129,16.3757,2.3147,26.69,33.2,
B,A130,16.4343,2.3174,26.69,33.2,
B,A131,16.2594,2.3044,26.69,33.2,
B,A132,16.1968,2.2554,26.69,33.2,
B,A133,16.2791,2.3015,26.68,33.2,
B,A134,16.2176,2.2822,26.66,33.2,
B,A135,16.2971,2.2925,26.66,33.2,
B,A136,16.2082,2.2708,26.63,33.2,
B,A137,16.3025,2.2884,26.63,33.2,
B,A138,16.2516,2.2781,26.62,33.2,
B,A139,16.3283,2.2968,26.61,33.2,
B,A140,16.3416,2.2788,26.42,33.2,
B,A141,16.2243,2.2768,26.42,33.2,
B,A142,16.2163,2.2852,26.43,33.2,
B,A143,16.2333,2.2836,26.42,33.2,
B,A144,16.2344,2.2773,26.43,33.2,
B,A145,16.2539,2.2756,26.43,33.2,
B,A146,16.276,2.2854,26.44,33.2,
B,A147,16.2779,2.3007,26.44,33.2,
B,A148,16.312,2.2991,26.43,33.2,
B,A149,16.3158,2.2986,26.41,33.2,
B,A150,16.3751,2.3184,26.41,33.2,
B,A151,16.1979,2.2929,26.4,33.2,
B,A152,16.0956,2.2505,26.41,33.2,
B,A153,16.2094,2.2811,26.4,33.2,
B,A154,16.1382,2.2689,26.39,33.2,
B,A155,16.2337,2.2876,26.38,33.2,
B,A156,16.1589,2.275,26.36,33.2,
B,A157,16.255,2.2779,26.37,33.2,
B,A158,16.1785,2.2707,26.37,33.2,
B,A159,16.2736,2.2903,26.37,33.2,
B,A160,16.3042,2.3075,26.34,33.2,
B,A161,16.2061,2.2852,26.33,33.2,
B,A162,16.206,2.2873,26.33,33.2,
B,A163,16.2184,2.2821,26.31,33.2,
B,A164,16.2194,2.2931,26.3,33.2,
B,A165,16.2318,2.2931,26.31,33.2,
B,A166,16.2606,2.3006,26.3,33.2,
B,A167,16.2557,2.2945,26.31,33.2,
B,A168,16.3026,2.3078,26.29,33.2,
B,A169,16.3056,2.3056,26.29,33.2,
B,A170,16.3601,2.3168,26.28,33.2,
B,A171,16.1892,2.2925,26.3,33.2,
B,A172,16.1057,2.2842,26.28,33.2,
B,A173,16.2003,2.2881,26.28,33.2,
B,A174,16.153,2.2793,26.28,33.2,
B,A175,16.2032,2.2835,26.27,33.2,
B,A176,16.1438,2.2741,26.27,33.2,
B,A177,16.2023,2.2823,26.27,33.2,
B,A178,16.1749,2.2834,26.27,33.2,
B,A179,16.2478,2.2902,26.25,33.2,
B,A180,16.2884,2.3092,26.25,33.2,
B,A181,16.2042,2.2924,26.25,33.2,
B,A182,16.1889,2.2815,26.23,33.2,
B,A183,16.2022,2.2812,26.23,33.2,
B,A184,16.2064,2.2892,26.23,33.2,
B,A185,16.2283,2.2939,26.22,33.2,
B,A186,16.2577,2.2971,26.21,33.2,
B,A187,16.2631,2.3041,26.22,33.2,
B,A188,16.3032,2.3025,26.21,33.2,
B,A189,16.3056,2.3042,26.21,33.2,
B,A190,16.3606,2.3151,26.21,33.2,
B,A191,16.1935,2.2959,26.21,33.2,
B,A192,16.1776,2.2877,26.2,33.2,
B,A193,16.1905,2.2857,26.2,33.2,
B,A194,16.2055,2.2877,26.2,33.2,
B,A195,16.2341,2.2898,26.2,33.2,
B,A196,16.2492,2.3009,26.2,33.2,
B,A197,16.2491,2.3049,26.19,33.2,
B,A198,16.2706,2.2978,26.19,33.2,
B,A199,16.2948,2.3042,26.18,33.2,
B,A200,16.3302,2.3091,26.17,33.2,
S,201,10.0171,1.4338,26.09,33.2,
S,202,10.069,1.4394,26.06,33.2,
S,204,10.07,1.4275,26.09,33.2,
S,205,10.1074,1.4352,26.19,33.2,
S,207,10.1113,1.4396,26.26,33.2,
S,208,10.094,1.4188,26.24,33.2,
S,209,10.1204,1.4403,26.21,33.2,
S,211,10.0843,1.4263,26.38,33.2,
S,214,10.013,1.4121,26.44,33.2,
S,215,10.1486,1.4533,26.47,33.2,
S,216,10.0946,1.4146,26.32,33.2,
S,217,10.096,1.4086,26.42,33.2,
S,218,10.1044,1.4166,26.42,33.2,
S,220,10.0893,1.4114,26.41,33.2,
S,221,10.1333,1.4487,26.39,33.2,
S,222,10.1323,1.4172,26.38,33.2,
S,224,10.0844,1.4081,26.36,33.2,
S,225,10.0275,1.4291,26.35,33.2,
S,226,10.0067,1.4031,26.36,33.2,
S,227,10.0339,1.4139,26.36,33.2,
S,228,10.0645,1.4428,26.35,33.2,
S,229,10.0661,1.424,26.37,33.2,
S,230,10.0998,1.3997,26.34,33.2,
S,231,10.1116,1.4221,26.39,33.2,
S,232,10.1242,1.4352,26.37,33.2,
S,234,10.0738,1.4292,26.36,33.2,
S,235,10.0915,1.4179,26.34,33.2,
S,237,10.0278,1.4175,26.33,33.2,
S,238,10.1094,1.4148,26.32,33.2,
S,239,10.0457,1.4237,26.31,33.2,
S,241,10.047,1.419,26.26,33.2,
S,242,10.0163,1.3932,26.26,33.2,
S,243,10.0742,1.4168,26.28,33.2,
S,244,10.0676,1.428,26.25,33.2,
S,245,10.1328,1.425,26.33,33.2,
S,247,10.1079,1.4121,26.36,33.2,
S,250,10.0778,1.4294,26.33,33.2,
S,251,10.0425,1.4215,26.33,33.2,
S,252,10.0634,1.4282,26.34,33.2,
S,253,10.0603,1.4344,26.35,33.2,
S,254,10.0346,1.4187,26.36,33.2,
S,256,10.0719,1.4287,26.35,33.2,
S,257,10.1273,1.4425,26.31,33.2,
S,258,10.0774,1.4192,26.31,33.2,
S,260,10.078,1.4287,26.29,33.2,
S,261,10.1769,1.433,26.26,33.2,
S,266,10.104,1.43,26.25,33.2,
S,262,10.0389,1.4016,26.25,33.2,
S,263,10.0878,1.4412,26.27,33.2,
S,264,10.0464,1.3983,26.26,33.2,
S,265,10.0972,1.4118,26.07,33.2,
S,268,10.0483,1.421,26.05,33.2,
S,269,10.1117,1.4325,26.04,33.2,
S,270,10.0516,1.4173,26.03,33.2,
S,272,10.093,1.44294,26.01,33.2,
S,273,10.0871,1.4285,25.99,33.2,
S,274,10.1163,1.4319,25.98,33.2,
S,275,10.1239,1.4195,25.96,33.2,
S,276,10.0443,1.4228,25.97,33.2,
S,277,10.1045,1.4502,25.97,33.2,
S,279,10.1388,1.4085,25.96,33.2,
S,281,10.1314,1.4583,25.91,33.2,
S,282,10.1918,1.4431,25.93,33.2,
S,283,10.1429,1.4277,25.92,33.2,
S,284,10.0752,1.4111,25.93,33.2,
S,285,10.1048,1.4291,25.92,33.2,
S,288,10.1631,1.4381,25.92,33.2,
S,289,10.2081,1.4472,25.93,33.2,
S,291,10.1445,1.444,25.9,33.2,
S,293,10.1161,1.4314,25.88,33.2,
S,296,10.1372,1.4335,25.88,33.2,
B,A006,16.2875,2.2981,23.89,33.2,
B,A011,16.3744,2.3142,23.35,33.2,
B,A067,16.2776,2.2546,27.23,33.2,
B,A071,16.3416,2.2825,27.2,33.2,
B,A085,16.2972,2.2847,26.96,33.2,
B,A091,16.3686,2.3109,26.94,33.2,
B,A102,16.3428,2.3049,26.85,33.2,
B,A104,16.3524,2.3123,26.85,33.2,
B,A105,16.3451,2.3097,26.84,33.2,
B,A106,16.3779,2.2156,26.84,33.2,
B,A109,16.4256,2.3066,26.81,33.2,
B,A111,16.3044,2.3107,26.81,33.2,
B,A113,16.3158,2.3015,26.8,33.2,
B,A120,16.4292,2.3084,26.73,33.2,
B,A121,16.2871,2.2758,26.73,33.2,
B,A122,16.2903,2.2981,26.73,33.2,
B,A127,16.3364,2.3124,26.71,33.2,
B,A128,16.3793,2.3044,26.7,33.2,
B,A129,16.3757,2.3147,26.69,33.2,
B,A130,16.4343,2.3174,26.69,33.2,
B,A131,16.2594,2.3044,26.69,33.2,
B,A132,16.1968,2.2554,26.69,33.2,
B,A133,16.2791,2.3015,26.68,33.2,
B,A134,16.2176,2.2822,26.66,33.2,
B,A141,16.2243,2.2768,26.42,33.2,
B,A148,16.312,2.2991,26.43,33.2,
B,A108,16.4113,2.3188,26.82,33.2,
B,A135,16.2971,2.2925,26.66,33.2,
B,A136,16.2082,2.2708,26.63,33.2,
B,A137,16.3025,2.2884,26.63,33.2,
B,A138,16.2516,2.2781,26.62,33.2,
B,A139,16.3283,2.2968,26.61,33.2,
B,A140,16.3416,2.2788,26.42,33.2,
B,A142,16.2163,2.2852,26.43,33.2,
B,A143,16.2333,2.2836,26.42,33.2,
B,A144,16.2344,2.2773,26.43,33.2,
B,A145,16.2539,2.2756,26.43,33.2,
B,A146,16.276,2.2854,26.44,33.2,
B,A147,16.2779,2.3007,26.44,33.2,
B,A149,16.3158,2.2986,26.41,33.2,
B,A150,16.3751,2.3184,26.41,33.2,
B,A153,16.2094,2.2811,26.4,33.2,
B,A141,16.2243,2.2768,26.42,33.2,
B,A142,16.2163,2.2852,26.43,33.2,
B,A143,16.2333,2.2836,26.42,33.2,
B,A144,16.2344,2.2773,26.43,33.2,
B,A145,16.2539,2.2756,26.43,33.2,
B,A146,16.276,2.2854,26.44,33.2,
B,A147,16.2779,2.3007,26.44,33.2,
B,A148,16.312,2.2991,26.43,33.2,
S,306,10.1372,1.4335,25.88,33.2,Guessed
S,358,10.1372,1.4335,25.88,33.2,Guessed
S,469,10.1372,1.4335,25.88,33.2,Guessed
S,410,10.1372,1.4335,25.88,33.2,Guessed
S,334,10.1372,1.4335,25.88,33.2,Guessed
S,471,10.1372,1.4335,25.88,33.2,Guessed
