T_Type,Tag,T_AW,T_BW,Temperature,Salinity,
B,A001,16.3913,2.3292,23.38,33.2,
B,A002,16.3504,2.3248,23.82,33.2,
B,A003,16.3417,2.3052,23.87,33.2,
B,A004,16.3112,2.3137,23.88,33.2,
B,A005,16.3054,2.2924,23.88,33.2,
B,A006,16.2875,2.2981,23.89,33.2,
B,A007,16.2807,2.2974,23.36,33.2,
B,A008,16.2872,2.2977,23.37,33.2,
B,A009,16.2855,2.2995,23.37,33.2,
B,A010,16.3144,2.3052,23.36,33.2,
B,A011,16.3744,2.3142,23.35,33.2,
B,A012,16.3112,2.2826,23.33,33.2,
B,A013,16.3334,2.2844,23.41,33.2,
B,A014,16.3335,2.2962,23.4,33.2,
B,A015,16.3229,2.2972,23.42,33.2,
B,A016,16.2404,2.2835,23.43,33.2,
B,A017,16.3046,2.3021,23.47,33.2,
B,A018,16.2876,2.2663,23.48,33.2,
B,A019,16.2996,2.3006,23.52,33.2,
B,A020,16.1046,2.2667,23.54,33.2,
B,A021,16.4034,2.2743,23.61,33.2,
B,A022,16.3781,2.3048,23.59,33.2,
B,A023,16.3576,2.2813,23.59,33.2,
B,A024,16.3401,2.2924,23.6,33.2,
B,A025,16.3312,2.2972,23.61,33.2,
B,A026,16.3194,2.2976,23.59,33.2,
B,A027,16.3061,2.2971,23.59,33.2,
B,A028,16.3262,2.2864,23.61,33.2,
B,A029,16.3167,2.2864,23.61,33.2,
B,A030,16.3622,2.3092,23.63,33.2,
B,A031,16.3933,2.2969,23.62,33.2,
B,A032,16.3161,2.2064,23.62,33.2,
B,A033,16.3738,2.3086,23.63,33.2,
B,A034,16.271,2.2526,23.62,33.2,
B,A035,16.3326,2.2594,23.64,33.2,
B,A036,16.2262,2.2521,23.65,33.2,
B,A037,16.3094,2.2937,23.66,33.2,
B,A038,16.2364,2.2801,23.69,33.2,
B,A039,16.3086,2.3001,23.69,33.2,
B,A040,16.1074,2.2585,27.88,33.2,
B,A041,16.3979,2.3204,27.75,33.2,
B,A042,16.3664,2.3008,27.76,33.2,
B,A043,16.3541,2.3043,27.76,33.2,
B,A044,16.3416,2.2932,27.68,33.2,
B,A045,16.3364,2.2859,27.67,33.2,
B,A046,16.3227,2.2688,27.67,33.2,
B,A047,16.3112,2.2956,27.67,33.2,
B,A048,16.3205,2.3024,27.62,33.2,
B,A049,16.2966,2.2897,27.61,33.2,
B,A050,16.3428,2.3021,27.62,33.2,
B,A051,16.2815,2.2853,27.6,33.2,
B,A052,16.294,2.2726,27.58,33.2,
B,A053,16.2529,2.2872,27.58,33.2,
B,A054,16.2688,2.262,27.58,33.2,
B,A055,16.2346,2.278,27.56,33.2,
B,A056,16.2122,2.2775,27.54,33.2,
B,A057,16.2109,2.2843,27.55,33.2,
