Tag,Tank,Date,BW,Temp,Sal,Notes
227,5,2020-08-12,2.8772,27.9,32.2,
228,5,2020-08-12,6.6506,27.8,32.2,
250,5,2020-08-12,4.6523,28.2,32.1,
252,5,2020-08-12,4.5866,28.2,32.1,
256,5,2020-08-12,10.0172,28.2,32.1,
264,5,2020-08-12,9.9902,27.7,32.1,
268,5,2020-08-12,6.7542,27.8,32.1,
276,5,2020-08-12,6.9445,27.8,32.1,
A004,5,2020-08-12,4.0492,28.2,32.5,
A015,5,2020-08-12,3.3218,28.2,32.5,
A017,5,2020-08-12,3.3628,28.5,32.2,
A028,5,2020-08-12,3.2007,28.4,32.2,
A049,5,2020-08-12,6.1234,28,32.4,
A057,5,2020-08-12,5.9238,28,32.4,
A062,5,2020-08-12,3.2493,28.1,32.4,
A066,5,2020-08-12,3.866,28,32.2,
A086,5,2020-08-12,4.4863,28.1,32.2,
A087,5,2020-08-12,4.6384,27.9,32.2,
A091,5,2020-08-12,4.471,28.4,32.5,
A095,5,2020-08-12,4.5602,28.3,32.5,
A109,5,2020-08-12,4.4274,28.2,32.5,
A115,5,2020-08-12,3.4354,29,32.4,
A121,5,2020-08-12,6.3228,28.3,32.5,
A154,5,2020-08-12,4.4498,28.8,32.5,
A160,5,2020-08-12,4.336,28.7,32.5,
A166,5,2020-08-12,6.2214,28.7,32.5,
A180,5,2020-08-12,4.1105,28.1,32.1,
A181,5,2020-08-12,4.3461,27.9,32.1,
A189,5,2020-08-12,3.3582,28,32.1,
A200,5,2020-08-12,6.3344,27.8,32.2,
217,6,2020-08-12,5.5237,27.9,32.2,
221,6,2020-08-12,3.043,27.9,32.2,
224,6,2020-08-12,7.0216,27.9,32.2,
241,6,2020-08-12,7.6225,28.2,32.1,
244,6,2020-08-12,4.3522,28.2,32.1,
251,6,2020-08-12,4.9132,28.1,32.1,
274,6,2020-08-12,8.9182,27.8,32.1,
277,6,2020-08-12,4.6978,27.7,32.1,
288,6,2020-08-12,7.2481,27.7,32.1,
A003,6,2020-08-12,3.9767,28.2,32.5,
A016,6,2020-08-12,3.6198,28.4,32.2,
A020,6,2020-08-12,3.0286,28.4,32.2,
A032,6,2020-08-12,6.5736,28.4,32.2,
A044,6,2020-08-12,5.7158,28.3,32.2,
A050,6,2020-08-12,3.5156,28.3,32.3,
A059,6,2020-08-12,6.6528,28.2,32.4,
A063,6,2020-08-12,4.4348,28.1,32.2,
A082,6,2020-08-12,5.0226,28.1,32.2,
A090,6,2020-08-12,3.9207,28.1,32.2,
A096,6,2020-08-12,3.5827,28.2,32.5,
A098,6,2020-08-12,5.2164,28.2,32.5,
A112,6,2020-08-12,3.7243,29.1,32.4,
A122,6,2020-08-12,4.6035,28.3,32.5,
A123,6,2020-08-12,4.1702,29,32.4,
A128,6,2020-08-12,4.3826,28.3,32.5,
A132,6,2020-08-12,5.8177,28.2,32.5,
A173,6,2020-08-12,3.9846,28.7,32.5,
A174,6,2020-08-12,4.7029,28.6,32.5,
A177,6,2020-08-12,4.4121,27.9,32.1,
A178,6,2020-08-12,3.4993,28,32.2,
A194,6,2020-08-12,3.8151,28.1,32.1,
208,7,2020-08-12,4.9289,27.9,32.2,
218,7,2020-08-12,3.9264,27.9,32.2,
229,7,2020-08-12,7.4643,27.8,32.2,
230,7,2020-08-12,7.4506,28.2,32.1,
243,7,2020-08-12,5.0432,28.3,32.1,
245,7,2020-08-12,3.9241,28.3,32.1,
279,7,2020-08-12,4.4444,27.8,32.1,
281,7,2020-08-12,7.569,27.8,32.1,
283,7,2020-08-12,8.1416,27.7,32.1,
A005,7,2020-08-12,6.3521,28.2,32.5,
A012,7,2020-08-12,3.9294,28.3,32.5,
A030,7,2020-08-12,3.6587,28.4,32.2,
A031,7,2020-08-12,4.9139,28.5,32.2,
A033,7,2020-08-12,2.772,28.5,32.2,
A047,7,2020-08-12,4.0009,28.1,32.4,
A053,7,2020-08-12,7.6017,28.1,32.4,
A055,7,2020-08-12,5.609,28.1,32.4,
A069,7,2020-08-12,3.9861,28.1,32.2,
A073,7,2020-08-12,5.7486,27.9,32.2,
A088,7,2020-08-12,4.283,28,32.2,
A103,7,2020-08-12,3.7521,28.2,32.5,
A104,7,2020-08-12,4.842,28.4,32.5,
A110,7,2020-08-12,3.8774,29.1,32.4,
A113,7,2020-08-12,5.7449,28.3,32.5,
A120,7,2020-08-12,4.0707,28.3,32.5,
A164,7,2020-08-12,6.0181,28.7,32.5,
A169,7,2020-08-12,3.7532,28.8,32.5,
A170,7,2020-08-12,5.0514,28.7,32.5,
