sample ID,Timepoint,Tank,Si,,NO2,,NN,,NO3,,NH4 ,,PO4
86-03,86,3,7.555,,0.334,,4.382,,4.048,,12.442,,0.373
86-04,86,4,7.005,,0.351,,4.179,,3.828,,11.781,,0.202
86-05,86,5,7.203,,0.243,,3.73,,3.487,,0.165,,0.134
86-06,86,6,7.36,,0.354,,2.672,,2.318,,0.146,,0.085
86-07,86,7,6.944,,0.279,,3.829,,3.55,,10.092,,0.222
86-08,86,8,7.295,,0.294,,4.266,,3.972,,10.032,,0.193
86-09,86,Source,14.609,,0.111,,7.431,,7.32,,0,,0.159
87-01,87,1,6.156,,0.37,,3.03,,2.66,,1.976,,0.236
87-02,87,2,6.022,,0.367,,2.95,,2.583,,0.793,,0.15
87-03,87,3,6.384,,0.622,,4.162,,3.54,,13.617,,0.455
87-04,87,4,5.437,,0.735,,4.517,,3.782,,12.478,,0.117
87-05,87,5,5.717,,0.315,,1.042,,0.727,,0.293,,0.082
87-06,87,6,6.039,,0.117,,0.214,,0.097,,0.198,,0.09
87-07,87,7,4.864,,0.444,,3.051,,2.607,,5.576,,0.092
87-08,87,8,4.435,,0.447,,3.451,,3.004,,6.095,,0.106
87-09,87,Source,7.199,,0.054,,3.712,,3.658,,0.274,,0.093
88-01,88,1,4.322,,0.774,,3.322,,2.548,,14.903,,1.601
88-02,88,2,3.287,,0.476,,2.217,,1.741,,5.96,,0.378
88-03,88,3,4.09,,0.832,,3.835,,3.003,,10.129,,0.333
88-04,88,4,2.398,,1.343,,5.377,,4.034,,11.73,,0.156
88-05,88,5,3.5,,0.157,,0.6,,0.443,,0.975,,0.058
88-06,88,6,3.463,,0.076,,0.827,,0.751,,1.759,,0.079
88-07,88,7,1.472,,0.545,,2.083,,1.538,,1.575,,0.205
88-08,88,8,2.294,,0.585,,3.17,,2.585,,2.96,,0.061
89-01,89,1,2.03,,0.702,,3.731,,3.029,,5.953,,0.833
89-02,89,2,0.546,,0.34,,0.716,,0.376,,0.969,,0.116
89-03,89,3,1.621,,0.132,,0.225,,0.093,,0.699,,0.07
89-04,89,4,0,,0.532,,0.691,,0.159,,1.108,,0.129
89-05,89,5,1.445,,0.042,,0.055,,0.013,,0.641,,0.04
89-06,89,6,2.074,,0.051,,0.252,,0.201,,1.21,,0.132
89-07,89,7,0.473,,0.066,,0.06,,0,,1.004,,0.168
89-08,89,8,0.903,,0.119,,0.155,,0.036,,0.933,,0.11
90-01,90,1,5.572,,0.415,,4.011,,3.596,,0.152,,0.077
90-02,90,2,3.35,,0.368,,1.419,,1.051,,0.181,,0.044
90-03,90,3,3.586,,0.143,,0.505,,0.362,,6.306,,0.026
90-04,90,4,3.193,,4.566,,24.514,,19.948,,8.022,,4.049
90-05,90,5,3.513,,0.079,,0.094,,0.015,,0.243,,0.164
