"","Days","Nutrients","Freq"
"1","-2","Ambient",120
"2","5","Ambient",119
"3","9","Ambient",119
"4","12","Ambient",118
"5","19","Ambient",118
"6","26","Ambient",118
"7","32","Ambient",118
"8","40","Ambient",118
"9","47","Ambient",117
"10","-2","NH4",119
"11","5","NH4",119
"12","9","NH4",119
"13","12","NH4",118
"14","19","NH4",118
"15","26","NH4",117
"16","32","NH4",116
"17","40","NH4",115
"18","47","NH4",106
