"","T_Type","Tag","T_AW","T_BW","Temperature","Salinity","X","SW_den"
"88","B","A088",16.2657,2.2959,26.95,33.2,"",1.02138054476852
"89","B","A089",16.2564,2.2944,26.95,33.2,"",1.02138054476852
"90","B","A090",16.2638,2.2996,26.95,33.2,"",1.02138054476852
"91","B","A091",16.3686,2.3109,26.94,33.2,"",1.02138371083728
"92","B","A092",16.3248,2.2956,26.93,33.2,"",1.02138687614366
"93","B","A093",16.3161,2.2963,26.93,33.2,"",1.02138687614366
"94","B","A094",16.3017,2.2977,26.91,33.2,"",1.02139320446888
"95","B","A095",16.3016,2.2939,26.9,33.2,"",1.02139636748748
"96","B","A096",16.2655,2.2689,26.89,33.2,"",1.02139952974326
"97","B","A097",16.2566,2.286,26.89,33.2,"",1.02139952974326
"98","B","A098",16.2704,2.2974,26.9,33.2,"",1.02139636748748
"99","B","A099",16.2492,2.2453,26.88,33.2,"",1.0214026912361
"100","B","A100",16.2432,2.236,26.85,33.2,"",1.02141217113591
"101","B","A101",16.3539,2.3102,26.85,33.2,"",1.02141217113591
"102","B","A103",16.3451,2.3028,26.84,33.2,"",1.0214153295759
"103","B","A102",16.3428,2.3049,26.85,33.2,"",1.02141217113591
"104","B","A104",16.3524,2.3123,26.85,33.2,"",1.02141217113591
"105","B","A105",16.3451,2.3097,26.84,33.2,"",1.0214153295759
"106","B","A106",16.3779,2.2156,26.84,33.2,"",1.0214153295759
"107","B","A107",16.3823,2.2906,26.83,33.2,"",1.02141848725238
"108","B","A108",16.4113,2.3188,26.82,33.2,"",1.02142164416526
"109","B","A109",16.4256,2.3066,26.81,33.2,"",1.02142480031441
"110","B","A110",16.4822,2.3335,26.82,33.2,"",1.02142164416526
"111","B","A111",16.3044,2.3107,26.81,33.2,"",1.02142480031441
"112","B","A112",16.2513,2.3038,26.8,33.2,"",1.02142795569972
"113","B","A113",16.3158,2.3015,26.8,33.2,"",1.02142795569972
"114","B","A114",16.3108,2.2865,26.79,33.2,"",1.02143111032108
"115","B","A115",16.33,2.3081,26.79,33.2,"",1.02143111032108
"116","B","A116",16.3438,2.2747,26.79,33.2,"",1.02143111032108
"117","B","A117",16.3447,2.3108,26.77,33.2,"",1.02143741727151
"118","B","A118",16.3776,2.3079,26.77,33.2,"",1.02143741727151
"119","B","A119",16.3815,2.3042,26.76,33.2,"",1.02144056960034
"120","B","A120",16.4292,2.3084,26.73,33.2,"",1.02145002199998
"121","B","A121",16.2871,2.2758,26.73,33.2,"",1.02145002199998
"122","B","A122",16.2903,2.2981,26.73,33.2,"",1.02145002199998
"123","B","A123",16.3043,2.2951,26.73,33.2,"",1.02145002199998
"124","B","A124",16.3064,2.2868,26.71,33.2,"",1.02145631977622
"125","B","A125",16.3172,2.2951,26.71,33.2,"",1.02145631977622
"126","B","A126",16.338,2.2943,26.71,33.2,"",1.02145631977622
"127","B","A127",16.3364,2.3124,26.71,33.2,"",1.02145631977622
"128","B","A128",16.3793,2.3044,26.7,33.2,"",1.02145946751695
"129","B","A129",16.3757,2.3147,26.69,33.2,"",1.02146261449259
"130","B","A130",16.4343,2.3174,26.69,33.2,"",1.02146261449259
"131","B","A131",16.2594,2.3044,26.69,33.2,"",1.02146261449259
"132","B","A132",16.1968,2.2554,26.69,33.2,"",1.02146261449259
"133","B","A133",16.2791,2.3015,26.68,33.2,"",1.02146576070304
"134","B","A134",16.2176,2.2822,26.66,33.2,"",1.0214720508279
"135","B","A135",16.2971,2.2925,26.66,33.2,"",1.0214720508279
"136","B","A136",16.2082,2.2708,26.63,33.2,"",1.0214814802734
"137","B","A137",16.3025,2.2884,26.63,33.2,"",1.0214814802734
"138","B","A138",16.2516,2.2781,26.62,33.2,"",1.02148462189031
"139","B","A139",16.3283,2.2968,26.61,33.2,"",1.02148776274123
"140","B","A140",16.3416,2.2788,26.42,33.2,"",1.02154729322028
"141","B","A141",16.2243,2.2768,26.42,33.2,"",1.02154729322028
"142","B","A142",16.2163,2.2852,26.43,33.2,"",1.02154416694467
"143","B","A143",16.2333,2.2836,26.42,33.2,"",1.02154729322028
"144","B","A144",16.2344,2.2773,26.43,33.2,"",1.02154416694467
"145","B","A145",16.2539,2.2756,26.43,33.2,"",1.02154416694467
"146","B","A146",16.276,2.2854,26.44,33.2,"",1.02154103990092
"147","B","A147",16.2779,2.3007,26.44,33.2,"",1.02154103990092
"148","B","A148",16.312,2.2991,26.43,33.2,"",1.02154416694467
"149","B","A149",16.3158,2.2986,26.41,33.2,"",1.02155041872764
"150","B","A150",16.3751,2.3184,26.41,33.2,"",1.02155041872764
"151","B","A151",16.1979,2.2929,26.4,33.2,"",1.02155354346662
"152","B","A152",16.0956,2.2505,26.41,33.2,"",1.02155041872764
"153","B","A153",16.2094,2.2811,26.4,33.2,"",1.02155354346662
"154","B","A154",16.1382,2.2689,26.39,33.2,"",1.02155666743712
"155","B","A155",16.2337,2.2876,26.38,33.2,"",1.02155979063902
"156","B","A156",16.1589,2.275,26.36,33.2,"",1.02156603473657
"157","B","A157",16.255,2.2779,26.37,33.2,"",1.02156291307221
"158","B","A158",16.1785,2.2707,26.37,33.2,"",1.02156291307221
"159","B","A159",16.2736,2.2903,26.37,33.2,"",1.02156291307221
"160","B","A160",16.3042,2.3075,26.34,33.2,"",1.02157227575836
"161","B","A161",16.2061,2.2852,26.33,33.2,"",1.02157539511556
"162","B","A162",16.206,2.2873,26.33,33.2,"",1.02157539511556
"163","B","A163",16.2184,2.2821,26.31,33.2,"",1.02158163152201
"164","B","A164",16.2194,2.2931,26.3,33.2,"",1.02158474857103
"165","B","A165",16.2318,2.2931,26.31,33.2,"",1.02158163152201
"166","B","A166",16.2606,2.3006,26.3,33.2,"",1.02158474857103
"167","B","A167",16.2557,2.2945,26.31,33.2,"",1.02158163152201
"168","B","A168",16.3026,2.3078,26.29,33.2,"",1.02158786485043
"169","B","A169",16.3056,2.3056,26.29,33.2,"",1.02158786485043
"170","B","A170",16.3601,2.3168,26.28,33.2,"",1.02159098036008
"171","B","A171",16.1892,2.2925,26.3,33.2,"",1.02158474857103
"172","B","A172",16.1057,2.2842,26.28,33.2,"",1.02159098036008
"173","B","A173",16.2003,2.2881,26.28,33.2,"",1.02159098036008
"174","B","A174",16.153,2.2793,26.28,33.2,"",1.02159098036008
"175","B","A175",16.2032,2.2835,26.27,33.2,"",1.02159409509989
"176","B","A176",16.1438,2.2741,26.27,33.2,"",1.02159409509989
"177","B","A177",16.2023,2.2823,26.27,33.2,"",1.02159409509989
"178","B","A178",16.1749,2.2834,26.27,33.2,"",1.02159409509989
"179","B","A179",16.2478,2.2902,26.25,33.2,"",1.0216003222695
