Time,Untitled 16,Untitled 17,Untitled 18,Flow,Set to (mL/min),Time0
02/07/20 06:00 PM,0.797523,0.147995,498.310953,54,150,03:19:56 AM
02/07/20 06:05 PM,-0.04137,0.485983,504.338026,54,150,03:24:57 AM
02/07/20 06:10 PM,-0.039448,0.236835,499.767318,72,150,03:29:57 AM
02/07/20 06:15 PM,-0.042137,0.55122,500.755712,54,150,03:34:58 AM
02/07/20 06:20 PM,0.96954,0.907566,502.100617,54,150,03:39:56 AM
02/07/20 06:25 PM,1.155764,0.207987,498.14704,54,150,03:44:57 AM
02/07/20 06:30 PM,0.823605,1.642224,503.682375,72,150,03:49:56 AM
02/07/20 06:35 PM,-0.026935,0.883307,507.721186,54,150,03:54:57 AM
02/07/20 06:40 PM,0.196842,1.056727,500.538528,54,150,03:59:57 AM
02/07/20 06:45 PM,-0.042068,0.00539,501.731813,54,150,04:04:57 AM
02/07/20 06:50 PM,1.210337,0.570562,499.075606,54,150,04:09:56 AM
02/07/20 06:55 PM,-0.031263,0.360098,503.756136,54,150,04:14:57 AM
02/07/20 07:00 PM,-0.030089,0.812563,501.067966,54,150,04:20:00 AM
02/07/20 07:05 PM,0.003048,1.118752,506.089434,36,150,04:25:00 AM
02/07/20 07:10 PM,-0.030187,0.578496,503.163591,36,150,04:29:59 AM
02/07/20 07:15 PM,-0.041956,0.082496,504.260987,18,150,04:34:59 AM
02/07/20 07:20 PM,-0.041943,0.994178,505.324781,36,150,04:39:55 AM
02/07/20 07:25 PM,-0.041628,0.833872,503.25948,36,150,04:44:56 AM
02/07/20 07:30 PM,-0.040025,0.41196,501.531839,54,150,04:49:57 AM
02/07/20 07:35 PM,-0.041422,0.080201,503.526658,54,150,04:54:58 AM
02/07/20 07:40 PM,0.721343,0.39688,506.168932,36,150,04:59:58 AM
02/07/20 07:45 PM,-0.04191,0,500.775382,36,150,05:05:00 AM
02/07/20 07:50 PM,-0.04191,0.704708,503.118515,54,150,05:09:55 AM
02/07/20 07:55 PM,-0.041687,0.039878,503.420934,54,150,05:14:58 AM
02/07/20 08:00 PM,-0.04193,0.784502,499.925494,36,150,05:19:57 AM
02/07/20 08:05 PM,1.485186,1.094625,502.694801,18,150,05:25:00 AM
02/07/20 08:10 PM,-0.008456,1.170681,504.6134,54,150,05:29:56 AM
02/07/20 08:15 PM,-0.037967,0,506.90654,54,150,05:34:56 AM
02/07/20 08:20 PM,-0.041907,0,501.544952,54,150,05:39:57 AM
02/07/20 08:25 PM,-0.041986,0.091807,503.078357,54,150,05:45:01 AM
02/07/20 08:30 PM,-0.041894,0,500.903234,54,150,05:49:57 AM
02/07/20 08:35 PM,-0.041569,0.716314,500.477061,18,150,05:55:01 AM
02/07/20 08:40 PM,-0.041278,0.788108,504.68798,36,150,06:00:01 AM
02/07/20 08:45 PM,-0.041809,0.068531,505.248562,18,150,06:04:55 AM
02/07/20 08:50 PM,-0.041258,0,501.159757,36,150,06:10:00 AM
02/07/20 08:55 PM,-0.037875,0.391111,502.251417,36,150,06:14:56 AM
02/07/20 09:00 PM,-0.041779,2.094429,501.569539,36,150,06:20:00 AM
02/07/20 09:05 PM,1.514366,0.881147,502.163723,36,150,06:25:01 AM
02/07/20 09:10 PM,1.21358,0,502.398119,54,150,06:29:56 AM
02/07/20 09:15 PM,-0.041727,0,501.778528,18,150,06:34:58 AM
02/07/20 09:20 PM,-0.04135,1.33453,503.229156,18,150,06:39:58 AM
02/07/20 09:25 PM,-0.041576,0.301223,501.767054,54,150,06:45:00 AM
02/07/20 09:30 PM,-0.041714,0,501.085177,36,150,06:49:59 AM
02/07/20 09:35 PM,-0.037577,0,495.912909,36,150,06:54:58 AM
02/07/20 09:40 PM,-0.041573,0,501.870319,18,150,06:59:59 AM
02/07/20 09:45 PM,-0.041628,0,494.867146,54,150,07:04:55 AM
02/07/20 09:50 PM,-0.041179,0,502.896413,36,150,07:10:01 AM
02/07/20 09:55 PM,-0.041501,0.174355,501.147464,54,150,07:14:58 AM
02/07/20 10:00 PM,-0.04155,1.626952,499.089539,18,150,07:20:01 AM
02/07/20 10:05 PM,2.472931,2.020671,500.464767,54,150,07:24:56 AM
02/07/20 10:10 PM,0.868566,0.90967,501.784265,18,150,07:30:01 AM
02/07/20 10:15 PM,-0.037052,0,501.64412,0,150,07:34:57 AM
02/12/20 03:00 PM,-0.033089,0,502.09406,306,300,12:00:00 AM
02/12/20 03:05 PM,-0.041786,0,502.200604,306,300,12:04:56 AM
02/12/20 03:10 PM,-0.041219,0,506.612316,306,300,12:09:56 AM
02/12/20 03:15 PM,-0.041661,0,501.161397,288,300,12:15:00 AM
02/12/20 03:20 PM,-0.04152,0,500.224635,306,300,12:19:56 AM
02/12/20 03:25 PM,-0.041484,0,502.310425,288,300,12:25:01 AM
02/12/20 03:30 PM,-0.041622,0,503.218502,288,300,12:29:59 AM
02/12/20 03:35 PM,-0.041615,0,501.985058,288,300,12:34:55 AM
02/12/20 03:40 PM,-0.041278,0,505.215779,270,300,12:39:59 AM
02/12/20 03:45 PM,-0.041474,0,501.202375,270,300,12:45:00 AM
02/12/20 03:50 PM,-0.04172,0,502.464503,270,300,12:49:56 AM
02/12/20 03:55 PM,-0.041435,0,502.477616,270,300,12:54:58 AM
02/12/20 04:00 PM,-0.041724,0,506.242693,270,300,01:00:00 AM
02/12/20 04:05 PM,-0.041386,0,3977.392553,270,300,01:04:56 AM
