"","Genotype","DayF","emmean","SE","df","lower.CL","upper.CL",".group"
"9","Kelsey-1","-2",0.538333333333339,0.00656195825879977,1081.72918736819,0.525457725024845,0.551208941641832," 1   "
"8","Acerv2","-2",0.581583333333343,0.00656195825879978,1081.72918736819,0.56870772502485,0.594458941641836,"  2  "
"2","FM6","-2",0.599208333333328,0.00656195825879977,1081.72918736827,0.586332725024835,0.612083941641821,"  23 "
"5","FM14","-2",0.599583333333335,0.00656195825879977,1081.72918736827,0.586707725024842,0.612458941641828,"  23 "
"10","Cooper-9","-2",0.60159090909091,0.00685374187302597,1081.72918736819,0.588142774810833,0.615039043370987,"  23 "
"6","Elkhorn","-2",0.601727644960361,0.0065284049651141,1121.00781625084,0.588918376298874,0.614536913621848,"  23 "
"1","FM19","-2",0.602377008616761,0.00642991677147896,1081.73046834993,0.589760486775139,0.614993530458383,"  23 "
"3","FM9","-2",0.602845293563588,0.00652835831157434,1121.02671167761,0.590036116673549,0.615654470453626,"  23 "
"7","K2","-2",0.614625000000001,0.00656195825879976,1081.72918736819,0.601749391691508,0.627500608308494,"   3 "
"4","U44","-2",0.654958333333332,0.00656195825879977,1081.72918736827,0.642082725024839,0.667833941641825,"    4"
"19","Kelsey-1","5",0.510125000000001,0.00656195825879977,1081.72918736819,0.497249391691508,0.523000608308494," 1   "
"18","Acerv2","5",0.552375000000003,0.00656195825879977,1081.72918736819,0.53949939169151,0.565250608308496,"  2  "
"20","Cooper-9","5",0.560681818181819,0.00685374187302598,1081.72918736819,0.547233683901741,0.574129952461896,"  23 "
"13","FM9","5",0.566470293563587,0.00652835831157435,1121.02671167752,0.553661116673549,0.579279470453626,"  23 "
"12","FM6","5",0.574583333333331,0.00656195825879976,1081.72918736819,0.561707725024838,0.587458941641824,"  23 "
"16","Elkhorn","5",0.578685978293694,0.00652840496511411,1121.00781625084,0.565876709632207,0.591495246955181,"  23 "
"15","FM14","5",0.579125,0.00656195825879977,1081.72918736819,0.566249391691507,0.592000608308493,"  23 "
"11","FM19","5",0.58038519600746,0.0064299188693713,1081.73092433825,0.567768670055396,0.593001721959524,"  23 "
"17","K2","5",0.583753688625866,0.00668850172876687,1107.85288235551,0.570630128488042,0.596877248763689,"   3 "
"14","U44","5",0.624624999999999,0.00656195825879977,1081.72918736819,0.611749391691506,0.637500608308492,"    4"
"29","Kelsey-1","9",0.506333333333335,0.00656195825879977,1081.72918736819,0.493457725024842,0.519208941641828," 1   "
"30","Cooper-9","9",0.540545454545455,0.00685374187302598,1081.72918736819,0.527097320265378,0.553993588825532,"  2  "
"28","Acerv2","9",0.542000000000003,0.00656195825879978,1081.72918736819,0.52912439169151,0.554875608308496,"  2  "
"21","FM19","9",0.556673761117712,0.00642991927178583,1081.73071847041,0.544057234373357,0.569290287862067,"  23 "
"26","Elkhorn","9",0.562028161960953,0.00654056398173321,1114.5766620251,0.549194956272615,0.57486136764929,"  23 "
"23","FM9","9",0.562417450092258,0.0065405639579566,1114.57670313551,0.549584244451087,0.575250655733429,"  23 "
"25","FM14","9",0.562958333333333,0.00656195825879977,1081.72918736819,0.55008272502484,0.575833941641826,"  23 "
"22","FM6","9",0.567791666666665,0.00656195825879977,1081.72918736819,0.554916058358171,0.580667274975158,"  23 "
"27","K2","9",0.572135683071251,0.00668850246305635,1107.85243433684,0.559012121486868,0.585259244655633,"   3 "
"24","U44","9",0.615374999999999,0.00656195825879977,1081.72918736819,0.602499391691506,0.628250608308492,"    4"
"39","Kelsey-1","12",0.513458333333335,0.00656195825879977,1081.72918736819,0.500582725024841,0.526333941641828," 1   "
"38","Acerv2","12",0.542333333333337,0.00656195825879977,1081.72918736819,0.529457725024843,0.55520894164183," 12  "
"40","Cooper-9","12",0.547045454545455,0.00685374187302598,1081.72918736819,0.533597320265378,0.560493588825532,"  23 "
"36","Elkhorn","12",0.561629520811314,0.00665505656687972,1152.6863142633,0.548572139123351,0.574686902499276,"  23 "
"37","K2","12",0.572104689727967,0.00680950334989861,1147.34408391267,0.558744214334459,0.585465165121476,"  23 "
"31","FM19","12",0.57266344469874,0.00642992295208862,1081.73198305158,0.560046910749565,0.585279978647915,"   3 "
"35","FM14","12",0.57325,0.00656195825879977,1081.72918736819,0.560374391691506,0.586125608308493,"   3 "
"32","FM6","12",0.574499999999998,0.00656195825879977,1081.72918736819,0.561624391691505,0.587375608308491,"   3 "
"33","FM9","12",0.576917450092258,0.00654056395795659,1114.57670313551,0.564084244451087,0.589750655733429,"   3 "
"34","U44","12",0.614458333333332,0.00656195825879977,1081.72918736819,0.601582725024839,0.627333941641825,"    4"
"49","Kelsey-1","19",0.514666666666668,0.00656195825879977,1081.72918736819,0.501791058358175,0.527542274975161," 1   "
"48","Acerv2","19",0.537833333333337,0.00656195825879977,1081.72918736819,0.524957725024843,0.55070894164183," 12  "
"50","Cooper-9","19",0.546181818181818,0.00685374187302598,1081.72918736819,0.532733683901741,0.559629952461896,"  23 "
"46","Elkhorn","19",0.546406575333178,0.00665505656687972,1152.6863142633,0.533349193645216,0.559463957021141,"  23 "
"43","FM9","19",0.548292450092258,0.0065405639579566,1114.57670313551,0.535459244451087,0.561125655733429,"  23 "
"42","FM6","19",0.549833333333331,0.00656195825879976,1081.72918736819,0.536957725024838,0.562708941641824,"  23 "
"45","FM14","19",0.563541666666667,0.00656195825879977,1081.72918736819,0.550666058358173,0.57641727497516,"  234"
"47","K2","19",0.564422871546149,0.00680950334989861,1147.34408391267,0.551062396152641,0.577783346939658,"  234"
"41","FM19","19",0.568588554538623,0.00642992295208862,1081.73198305141,0.555972020589449,0.581205088487798,"   34"
"44","U44","19",0.591208333333332,0.00656195825879977,1081.72918736819,0.578332725024839,0.604083941641826,"    4"
"59","Kelsey-1","26",0.513666666666668,0.00656195825879978,1081.72918736819,0.500791058358175,0.526542274975161," 1    "
"60","Cooper-9","26",0.518590909090909,0.00685374187302598,1081.72918736819,0.505142774810832,0.532039043370987," 12   "
"58","Acerv2","26",0.53441666666667,0.00656195825879978,1081.72918736819,0.521541058358177,0.547292274975163," 123  "
"56","Elkhorn","26",0.546231960725238,0.00677095897242577,1195.14293209811,0.532947671750814,0.559516249699662,"  234 "
"55","FM14","26",0.549833333333333,0.00656195825879977,1081.72918736819,0.53695772502484,0.562708941641826,"   34 "
"53","FM9","26",0.551667450092258,0.0065405639579566,1114.57670313551,0.538834244451087,0.564500655733429,"   34 "
"51","FM19","26",0.556670978522045,0.00642992464768114,1081.73263594365,0.544054441254376,0.569287515789713,"   34 "
"52","FM6","26",0.563624999999998,0.00656195825879977,1081.72918736819,0.550749391691505,0.576500608308491,"   345"
"57","K2","26",0.566968326091604,0.00680950334989862,1147.34408391267,0.553607850698095,0.580328801485112,"    45"
"54","U44","26",0.589541666666666,0.00656195825879977,1081.72918736819,0.576666058358172,0.602417274975159,"     5"
"69","Kelsey-1","32",0.544541666666668,0.00656195825879977,1081.72918736819,0.531666058358175,0.557417274975161," 1    "
"68","Acerv2","32",0.547500000000003,0.00656195825879977,1081.72918736819,0.53462439169151,0.560375608308496," 1    "
"66","Elkhorn","32",0.553641051634329,0.00677095897242577,1195.14293209811,0.540356762659905,0.566925340608753," 12   "
"70","Cooper-9","32",0.55365489745432,0.00697601314565682,1126.67296389517,0.539967459034226,0.567342335874413," 123  "
"61","FM19","32",0.567187050660962,0.006429926492332,1081.73336437648,0.554570509783311,0.579803591538612," 1234 "
"63","FM9","32",0.567834116758925,0.0065405639579566,1114.57670313551,0.555000911117754,0.580667322400096," 12345"
"65","FM14","32",0.579875,0.00656195825879977,1081.72918736819,0.566999391691506,0.592750608308493,"  2345"
"67","K2","32",0.584104689727967,0.00680950334989862,1147.34408391267,0.570744214334459,0.597465165121476,"   345"
"62","FM6","32",0.585374999999998,0.00656195825879976,1081.72918736819,0.572499391691505,0.598250608308491,"    45"
"64","U44","32",0.596958333333332,0.00656195825879977,1081.72918736819,0.584082725024839,0.609833941641825,"     5"
"79","Kelsey-1","40",0.530500000000001,0.00656195825879978,1081.72918736819,0.517624391691508,0.543375608308495," 1  "
"78","Acerv2","40",0.53704166666667,0.00656195825879977,1081.72918736819,0.524166058358177,0.549917274975163," 1  "
"80","Cooper-9","40",0.538830458899744,0.00710768194880841,1175.07817411341,0.524885294596631,0.552775623202857," 1  "
"76","Elkhorn","40",0.544777415270693,0.00677095897242577,1195.14293209801,0.531493126296268,0.558061704245117," 12 "
"73","FM9","40",0.552042450092258,0.0065405639579566,1114.57670313551,0.539209244451087,0.564875655733429," 12 "
"75","FM14","40",0.569916666666667,0.00656195825879977,1081.72918736819,0.557041058358173,0.58279227497516,"  23"
"77","K2","40",0.570195598818877,0.00680950334989862,1147.34408391267,0.556835123425368,0.583556074212385,"  23"
"72","FM6","40",0.570249999999998,0.00656195825879977,1081.72918736819,0.557374391691505,0.583125608308491,"  23"
"71","FM19","40",0.570894211429062,0.00642992851521734,1081.73417797185,0.558277666592817,0.583510756265307,"  23"
"74","U44","40",0.590458333333332,0.00656195825879977,1081.72918736819,0.577582725024839,0.603333941641826,"   3"
"90","Cooper-9","47",0.492863888547621,0.00756985572926262,1337.71677564906,0.478013807822194,0.507713969273048," 1    "
