T_Type,Tag,T_AW,T_BW,Temperature,Salinity,SW_den_g/cm3,Empuje_g,Tag_Vol(cm3),Tag_Den(g/cm3)
B,A001,16.3913,2.3292,23.38,33.2,1.02246152399242,14.0621,13.7531825599574,1.19181868840479
B,A002,16.3504,2.3248,23.82,33.2,1.02233372059341,14.0256,13.7191992374651,1.1917896749651
B,A003,16.3417,2.3052,23.87,33.2,1.02231909944867,14.0365,13.7300574816315,1.19021351672143
B,A004,16.3112,2.3137,23.88,33.2,1.02231617282503,13.9975,13.6919481194549,1.19129870035247
B,A005,16.3054,2.2924,23.88,33.2,1.02231617282503,14.013,13.7071097694532,1.18955784802549
B,A006,16.2875,2.2981,23.89,33.2,1.02231324540344,13.9894,13.6840641191921,1.19025311911222
B,A007,16.2807,2.2974,23.36,33.2,1.02246729633068,13.9833,13.6760364367464,1.19045456447126
B,A008,16.2872,2.2977,23.37,33.2,1.02246441056363,13.9895,13.6821388162433,1.1903986809916
B,A009,16.2855,2.2995,23.37,33.2,1.02246441056363,13.986,13.6787157142127,1.19057229788603
B,A010,16.3144,2.3052,23.36,33.2,1.02246729633068,14.0092,13.7013673202798,1.19071327836402
B,A011,16.3744,2.3142,23.35,33.2,1.02247018129343,14.0602,13.7512078662419,1.19076085237558
B,A012,16.3112,2.2826,23.33,33.2,1.02247594880557,14.0286,13.7202249269412,1.18884348375158
B,A013,16.3334,2.2844,23.41,33.2,1.02245285945501,14.049,13.7404867814526,1.18870606695298
B,A014,16.3335,2.2962,23.4,33.2,1.02245574843799,14.0373,13.7290049192299,1.18970749126341
B,A015,16.3229,2.2972,23.42,33.2,1.02244996966836,14.0257,13.7177372155914,1.18991199083822
B,A016,16.2404,2.2835,23.43,33.2,1.02244707907815,13.9569,13.6504864511753,1.18973049481337
B,A017,16.3046,2.3021,23.47,33.2,1.02243550868425,14.0025,13.6952403169365,1.19053040492007
B,A018,16.2876,2.2663,23.48,33.2,1.02243261407812,14.0213,13.7136666093563,1.18769111602054
B,A019,16.2996,2.3006,23.52,33.2,1.02242102762666,13.999,13.6920110421592,1.19044601627998
B,A020,16.1046,2.2667,23.54,33.2,1.02241522958647,13.8379,13.5345206131142,1.1898906847425
B,A021,16.4034,2.2743,23.61,33.2,1.02239491118665,14.1291,13.8196110381662,1.18696538959729
B,A022,16.3781,2.3048,23.59,33.2,1.02240072045171,14.0733,13.7649550890205,1.18984042403915
B,A023,16.3576,2.2813,23.59,33.2,1.02240072045171,14.0763,13.7678893592533,1.18809786839304
B,A024,16.3401,2.2924,23.6,33.2,1.02239781621985,14.0477,13.7399550127553,1.1892397016461
B,A025,16.3312,2.2972,23.61,33.2,1.02239491118665,14.034,13.7265941432664,1.18974887940512
B,A026,16.3194,2.2976,23.59,33.2,1.02240072045171,14.0218,13.7145834500244,1.18993041673249
B,A027,16.3061,2.2971,23.59,33.2,1.02240072045171,14.009,13.7020638970311,1.19004699748431
B,A028,16.3262,2.2864,23.61,33.2,1.02239491118665,14.0398,13.7322670979501,1.18889327476285
B,A029,16.3167,2.2864,23.61,33.2,1.02239491118665,14.0303,13.7229751894164,1.18900601180012
B,A030,16.3622,2.3092,23.63,33.2,1.02238909871668,14.053,13.7452561041971,1.190388878604
B,A031,16.3933,2.2969,23.62,33.2,1.02239200535221,14.0964,13.7876664979827,1.18898292197585
B,A032,16.3161,2.2064,23.62,33.2,1.02239200535221,14.1097,13.8006752069029,1.18226824089295
B,A033,16.3738,2.3086,23.63,33.2,1.02238909871668,14.0652,13.7571889387855,1.19019954387902
B,A034,16.271,2.2526,23.62,33.2,1.02239200535221,14.0184,13.7113748216084,1.18667895901714
B,A035,16.3326,2.2594,23.64,33.2,1.02238619128015,14.0732,13.7650528929569,1.18652649771922
B,A036,16.2262,2.2521,23.65,33.2,1.02238328304277,13.9741,13.6681616686953,1.18715306368987
B,A037,16.3094,2.2937,23.66,33.2,1.02238037400465,14.0157,13.7088899164806,1.18969516126854
B,A038,16.2364,2.2801,23.69,33.2,1.02237164208706,13.9563,13.6509067989305,1.18940083901767
