T_Type,Tag,T_AW,T_BW,Temperature,Salinity,SW_den_g/cm3,Empuje_g,Tag_Vol(cm3),Tag_Den(g/cm3)
B,A039,16.3086,2.3001,23.69,33.2,1.02237164208706,14.0085,13.7019645531278,1.19023808131784
B,A040,16.1074,2.2585,27.88,33.2,1.0210827836308,13.8489,13.562955151154,1.18760254092778
B,A041,16.3979,2.3204,27.75,33.2,1.02112479915869,14.0775,13.7862678603032,1.18943721144552
B,A042,16.3664,2.3008,27.76,33.2,1.02112157171151,14.0656,13.7746575820786,1.18815294699545
B,A043,16.3541,2.3043,27.76,33.2,1.02112157171151,14.0498,13.7591844000034,1.18859516120708
B,A044,16.3416,2.2932,27.68,33.2,1.02114737019107,14.0484,13.7574657782954,1.18783504631947
B,A045,16.3364,2.2859,27.67,33.2,1.02115059160894,14.0505,13.7594788814271,1.18728333687486
B,A046,16.3227,2.2688,27.67,33.2,1.02115059160894,14.0539,13.7628084588939,1.18600066612508
B,A047,16.3112,2.2956,27.67,33.2,1.02115059160894,14.0156,13.7253017480182,1.18840374510201
B,A048,16.3205,2.3024,27.62,33.2,1.02116668738354,14.0181,13.7275335879958,1.18888800347002
B,A049,16.2966,2.2897,27.61,33.2,1.02116990427473,14.0069,13.7165225310358,1.18809996944389
B,A050,16.3428,2.3021,27.62,33.2,1.02116668738354,14.0407,13.7496651364289,1.18859621945998
B,A051,16.2815,2.2853,27.6,33.2,1.02117312041107,13.9962,13.7060011865235,1.18791030136557
B,A052,16.294,2.2726,27.58,33.2,1.0211795504188,14.0214,13.7305922295933,1.18669316862253
B,A053,16.2529,2.2872,27.58,33.2,1.0211795504188,13.9657,13.6760474632228,1.18842085359142
B,A054,16.2688,2.262,27.58,33.2,1.0211795504188,14.0068,13.7162950376901,1.18609288844371
B,A055,16.2346,2.278,27.56,33.2,1.02118597740582,13.9566,13.6670501836059,1.1878642268742
B,A056,16.2122,2.2775,27.54,33.2,1.02119240137124,13.9347,13.645518690982,1.18809701317652
B,A057,16.2109,2.2843,27.55,33.2,1.02118918976629,13.9266,13.6376296768156,1.18868897192296
B,A058,16.2187,2.2861,27.53,33.2,1.02119561222057,13.9326,13.6434193735947,1.1887562462083
B,A059,16.2071,2.2877,27.53,33.2,1.02119561222057,13.9194,13.6304933486078,1.18903253062776
B,A060,16.0844,2.2345,27.47,33.2,1.02121486144218,13.8499,13.5621802256588,1.18597450648601
B,A061,16.3724,2.3023,27.46,33.2,1.02121806699901,14.0701,13.7777625119255,1.18832067150444
B,A062,16.3377,2.3046,27.44,33.2,1.02122447584298,14.0331,13.7414450318734,1.18893609530181
B,A063,16.3206,2.2897,27.26,33.2,1.02128201911689,14.0309,13.7385166265168,1.18794484467847
B,A064,16.3188,2.2904,27.25,33.2,1.02128520876321,14.0284,13.7360258227852,1.18802921678631
B,A065,16.3033,2.2792,27.25,33.2,1.02128520876321,14.0241,13.7318154416271,1.18726471887888
B,A066,16.2948,2.2933,27.24,33.2,1.02128839765065,14.0015,13.7096436542398,1.18856480963024
B,A067,16.2776,2.2546,27.23,33.2,1.02129158577909,14.023,13.7306526316895,1.18549354037494
B,A068,16.2895,2.2946,27.23,33.2,1.02129158577909,13.9949,13.7031384522022,1.18874227658279
B,A069,16.2686,2.2967,27.22,33.2,1.02129477314844,13.9719,13.6805752534379,1.18917514056375
B,A070,16.2986,2.2718,27.21,33.2,1.02129795975857,14.0268,13.7342876933935,1.18670879508662
B,A071,16.3416,2.2825,27.2,33.2,1.02130114560937,14.0591,13.7658711736894,1.18710975817016
B,A072,16.3018,2.2965,27.09,33.2,1.02133613982034,14.0053,13.7127234158811,1.18880834285044
B,A073,16.3094,2.2829,27.09,33.2,1.02133613982034,14.0265,13.733480539,1.1875649405615
B,A074,16.2926,2.2976,27.1,33.2,1.02133296232957,13.995,13.7026812177673,1.1890081759236
B,A075,16.2848,2.2921,27.09,33.2,1.02133613982034,13.9927,13.7003866351595,1.18863798764686
B,A076,16.2678,2.2641,27.06,33.2,1.02134566772811,14.0037,13.7110289322027,1.18647550672089
B,A077,16.2625,2.3016,27.05,33.2,1.02134884217548,13.9609,13.669080948154,1.18972885314548
B,A078,16.2469,2.2904,27.05,33.2,1.02134884217548,13.9565,13.6647729195762,1.18896231175014
B,A079,16.2552,2.2704,27.04,33.2,1.02135201586173,13.9848,13.6924388289387,1.18716615813137
B,A080,16.1561,2.2786,26.99,33.2,1.02136787287207,13.8775,13.5871710561805,1.18907018489702
B,A081,16.3654,2.3131,26.99,33.2,1.02136787287207,14.0523,13.7583140935157,1.18949166945629
B,A082,16.3215,2.3006,26.99,33.2,1.02136787287207,14.0209,13.7275710078617,1.18895760878984
B,A083,16.3148,2.2679,26.98,33.2,1.02137104198917,14.0469,13.7529843930595,1.18627343227651
B,A084,16.3034,2.2596,26.97,33.2,1.02137421034436,14.0438,13.7499066040302,1.18570987203807
B,A085,16.2972,2.2847,26.96,33.2,1.02137737793751,14.0125,13.7192190689554,1.18791018046196
B,A086,16.2806,2.1849,26.96,33.2,1.02137737793751,14.0957,13.8006776970758,1.17969569012177
B,A087,16.2554,2.2897,26.96,33.2,1.02137737793751,13.9657,13.6733985906377,1.18883391661896
B,A088,16.2657,2.2959,26.95,33.2,1.02138054476852,13.9698,13.6773703704784,1.18924175915484
B,A089,16.2564,2.2944,26.95,33.2,1.02138054476852,13.962,13.6697336477701,1.18922580489722
B,A090,16.2638,2.2996,26.95,33.2,1.02138054476852,13.9642,13.6718875952006,1.18957970410093
B,A091,16.3686,2.3109,26.94,33.2,1.02138371083728,14.0577,13.7633876973387,1.18928568750301
B,A092,16.3248,2.2956,26.93,33.2,1.02138687614366,14.0292,13.7354418072891,1.18851655658698
B,A093,16.3161,2.2963,26.93,33.2,1.02138687614366,14.0198,13.7262386344076,1.18867961096789
B,A094,16.3017,2.2977,26.91,33.2,1.02139320446888,14.004,13.7106845225997,1.18897783499645
B,A095,16.3016,2.2939,26.9,33.2,1.02139636748748,14.0077,13.7142645557448,1.18866016721046
B,A096,16.2655,2.2689,26.89,33.2,1.02139952974326,13.9966,13.7033546544888,1.18697212544754
B,A097,16.2566,2.286,26.89,33.2,1.02139952974326,13.9706,13.6778993852794,1.18853045647462
B,A098,16.2704,2.2974,26.9,33.2,1.02139636748748,13.973,13.6802914566575,1.18933138607087
B,A099,16.2492,2.2453,26.88,33.2,1.0214026912361,14.0039,13.7104592734649,1.18516817532499
B,A100,16.2432,2.236,26.85,33.2,1.02141217113591,14.0072,13.7135628454697,1.18446243204886
B,A101,16.3539,2.3102,26.85,33.2,1.02141217113591,14.0437,13.7492976849708,1.18943529878448
B,A103,16.3451,2.3028,26.84,33.2,1.0214153295759,14.0423,13.7478845219902,1.18891746390912
B,A102,16.3428,2.3049,26.85,33.2,1.02141217113591,14.0379,13.7436192721186,1.1891190869318
B,A104,16.3524,2.3123,26.85,33.2,1.02141217113591,14.0401,13.7457731528557,1.18963115556747
B,A105,16.3451,2.3097,26.84,33.2,1.0214153295759,14.0354,13.7411291896584,1.18950195245244
B,A106,16.3779,2.2156,26.84,33.2,1.0214153295759,14.1623,13.8653685625418,1.18120913455167
B,A107,16.3823,2.2906,26.83,33.2,1.02141848725238,14.0917,13.7962061347712,1.18744963941289
B,A108,16.4113,2.3188,26.82,33.2,1.02142164416526,14.0925,13.7969467168643,1.18948781471629
B,A109,16.4256,2.3066,26.81,33.2,1.02142480031441,14.119,13.8228482367512,1.18829344854766
B,A110,16.4822,2.3335,26.82,33.2,1.02142164416526,14.1487,13.8519680690366,1.18988146073213
B,A111,16.3044,2.3107,26.81,33.2,1.02142480031441,13.9937,13.7001764551757,1.19008686153385
B,A112,16.2513,2.3038,26.8,33.2,1.02142795569972,13.9475,13.6549033362274,1.19014390653973
B,A113,16.3158,2.3015,26.8,33.2,1.02142795569972,14.0143,13.720301977049,1.18917207706453
B,A114,16.3108,2.2865,26.79,33.2,1.02143111032108,14.0243,13.7300497882736,1.18796364554559
B,A115,16.33,2.3081,26.79,33.2,1.02143111032108,14.0219,13.7277001437643,1.18956561033407
B,A116,16.3438,2.2747,26.79,33.2,1.02143111032108,14.0691,13.773909819114,1.18657666665712
B,A117,16.3447,2.3108,26.77,33.2,1.02143741727151,14.0339,13.7393635309422,1.18962570305315
B,A118,16.3776,2.3079,26.77,33.2,1.02143741727151,14.0697,13.7744121784606,1.18898721686361
B,A119,16.3815,2.3042,26.76,33.2,1.02144056960034,14.0773,13.7818101404647,1.18863196002841
B,A120,16.4292,2.3084,26.73,33.2,1.02145002199998,14.1208,13.8242691231743,1.18843172493358
B,A121,16.2871,2.2758,26.73,33.2,1.02145002199998,14.0113,13.7170685772429,1.18736010600843
B,A122,16.2903,2.2981,26.73,33.2,1.02145002199998,13.9922,13.6983696692311,1.18921451189851
B,A123,16.3043,2.2951,26.73,33.2,1.02145002199998,14.0092,13.715012676362,1.18879219325117
B,A124,16.3064,2.2868,26.71,33.2,1.02145631977622,14.0196,13.7251096582098,1.18807065342798
B,A125,16.3172,2.2951,26.71,33.2,1.02145631977622,14.0221,13.7275571441684,1.18864557099525
B,A126,16.338,2.2943,26.71,33.2,1.02145631977622,14.0437,13.7487034228509,1.18833023722409
B,A127,16.3364,2.3124,26.71,33.2,1.02145631977622,14.024,13.7294172334969,1.18988298790589
B,A128,16.3793,2.3044,26.7,33.2,1.02145946751695,14.0749,13.7792055853322,1.18869697520411
B,A129,16.3757,2.3147,26.69,33.2,1.02146261449259,14.061,13.7655551955612,1.18961420497449
B,A130,16.4343,2.3174,26.69,33.2,1.02146261449259,14.1169,13.8202806443509,1.18914372456811
B,A131,16.2594,2.3044,26.69,33.2,1.02146261449259,13.955,13.6617824304144,1.19013753021002
B,A132,16.1968,2.2554,26.69,33.2,1.02146261449259,13.9414,13.6484681888484,1.18671192810002
B,A133,16.2791,2.3015,26.68,33.2,1.02146576070304,13.9776,13.6838654194143,1.18965654082681
B,A134,16.2176,2.2822,26.66,33.2,1.0214720508279,13.9354,13.6424682287738,1.18875849502035
B,A135,16.2971,2.2925,26.66,33.2,1.0214720508279,14.0046,13.7102135967884,1.18868315835849
B,A136,16.2082,2.2708,26.63,33.2,1.0214814802734,13.9374,13.6443002336857,1.18790994938563
B,A137,16.3025,2.2884,26.63,33.2,1.0214814802734,14.0141,13.7193872533539,1.18828193263621
B,A138,16.2516,2.2781,26.62,33.2,1.02148462189031,13.9735,13.679598988129,1.18801728136205
B,A139,16.3283,2.2968,26.61,33.2,1.02148776274123,14.0315,13.736336852774,1.18869391272263
B,A140,16.3416,2.2788,26.42,33.2,1.02154729322028,14.0628,13.766176165637,1.18708345755387
B,A141,16.2243,2.2768,26.42,33.2,1.02154729322028,13.9475,13.6533081655305,1.18830541311302
B,A142,16.2163,2.2852,26.43,33.2,1.02154416694467,13.9311,13.6372958221341,1.18911404515256
B,A143,16.2333,2.2836,26.42,33.2,1.02154729322028,13.9497,13.6554617613695,1.18877708302206
B,A144,16.2344,2.2773,26.43,33.2,1.02154416694467,13.9571,13.6627474872126,1.18822367281502
B,A145,16.2539,2.2756,26.43,33.2,1.02154416694467,13.9783,13.6835003833536,1.18784664337595
B,A146,16.276,2.2854,26.44,33.2,1.02154103990092,13.9906,13.6955829022366,1.18841236011518
B,A147,16.2779,2.3007,26.44,33.2,1.02154103990092,13.9772,13.6824654654655,1.18969055986916
B,A148,16.312,2.2991,26.43,33.2,1.02154416694467,14.0129,13.7173706761119,1.18914917334752
B,A149,16.3158,2.2986,26.41,33.2,1.02155041872764,14.0172,13.7214960153006,1.18906859585912
B,A150,16.3751,2.3184,26.41,33.2,1.02155041872764,14.0567,13.7601627313783,1.19003679823194
B,A151,16.1979,2.2929,26.4,33.2,1.02155354346662,13.905,13.6116213280546,1.1900051881854
B,A152,16.0956,2.2505,26.41,33.2,1.02155041872764,13.8451,13.5530266017064,1.1876018894535
B,A153,16.2094,2.2811,26.4,33.2,1.02155354346662,13.9283,13.6344297262526,1.18885793725493
B,A154,16.1382,2.2689,26.39,33.2,1.02155666743712,13.8693,13.5766330367118,1.18867468512713
B,A155,16.2337,2.2876,26.38,33.2,1.02155979063902,13.9461,13.651770682239,1.18912779725491
B,A156,16.1589,2.275,26.36,33.2,1.02156603473657,13.8839,13.590800328028,1.18895867866412
B,A157,16.255,2.2779,26.37,33.2,1.02156291307221,13.9771,13.6820746144413,1.18805082255896
B,A158,16.1785,2.2707,26.37,33.2,1.02156291307221,13.9078,13.6142373827709,1.1883515429571
B,A159,16.2736,2.2903,26.37,33.2,1.02156291307221,13.9833,13.6881437462791,1.18888289761157
B,A160,16.3042,2.3075,26.34,33.2,1.02157227575836,13.9967,13.7011353304489,1.18998897585999
B,A161,16.2061,2.2852,26.33,33.2,1.02157539511556,13.9209,13.6268943697741,1.18927317995117
B,A162,16.206,2.2873,26.33,33.2,1.02157539511556,13.9187,13.6247408331771,1.18945381775904
B,A163,16.2184,2.2821,26.31,33.2,1.02158163152201,13.9363,13.6418858463977,1.18886788693388
B,A164,16.2194,2.2931,26.3,33.2,1.02158474857103,13.9263,13.6320555093249,1.18979855891177
B,A165,16.2318,2.2931,26.31,33.2,1.02158163152201,13.9387,13.6442351447073,1.18964528446261
B,A166,16.2606,2.3006,26.3,33.2,1.02158474857103,13.96,13.6650434724353,1.18994132970015
B,A167,16.2557,2.2945,26.31,33.2,1.02158163152201,13.9612,13.6662598163593,1.18947687358768
B,A168,16.3026,2.3078,26.29,33.2,1.02158786485043,13.9948,13.6990664058534,1.19005189967064
B,A169,16.3056,2.3056,26.29,33.2,1.02158786485043,14,13.7041565211326,1.18982879207894
B,A170,16.3601,2.3168,26.28,33.2,1.02159098036008,14.0433,13.7464995971775,1.19012843119416
B,A171,16.1892,2.2925,26.3,33.2,1.02158474857103,13.8967,13.6030809185811,1.19011274702383
B,A172,16.1057,2.2842,26.28,33.2,1.02159098036008,13.8215,13.5293872652716,1.19042345999966
B,A173,16.2003,2.2881,26.28,33.2,1.02159098036008,13.9122,13.6181703514026,1.18960914586675
B,A174,16.153,2.2793,26.28,33.2,1.02159098036008,13.8737,13.5804840359005,1.18942741343379
B,A175,16.2032,2.2835,26.27,33.2,1.02159409509989,13.9197,13.6254702985915,1.18918464059732
B,A176,16.1438,2.2741,26.27,33.2,1.02159409509989,13.8697,13.5765271809288,1.18909642980552
B,A177,16.2023,2.2823,26.27,33.2,1.02159409509989,13.92,13.6257639572975,1.18909296027564
B,A178,16.1749,2.2834,26.27,33.2,1.02159409509989,13.8915,13.5978663802297,1.18951749838615
B,A179,16.2478,2.2902,26.25,33.2,1.0216003222695,13.9576,13.6624859015246,1.18922721070746
B,A180,16.2884,2.3092,26.25,33.2,1.0216003222695,13.9792,13.683629199475,1.19035672207669
B,A181,16.2042,2.2924,26.25,33.2,1.0216003222695,13.9118,13.6176542790186,1.18994062178291
B,A182,16.1889,2.2815,26.23,33.2,1.02160654635835,13.9074,13.6132643722525,1.18920044137227
B,A183,16.2022,2.2812,26.23,33.2,1.02160654635835,13.921,13.6265767380047,1.18901469617177
B,A184,16.2064,2.2892,26.23,33.2,1.02160654635835,13.9172,13.6228571063974,1.18964765419064
B,A185,16.2283,2.2939,26.22,33.2,1.02160965724719,13.9344,13.6396517996388,1.18978843729939
B,A186,16.2577,2.2971,26.21,33.2,1.02161276736551,13.9606,13.665256001059,1.18971060613428
B,A187,16.2631,2.3041,26.22,33.2,1.02160965724719,13.959,13.6637314467188,1.19023855697233
B,A188,16.3032,2.3025,26.21,33.2,1.02161276736551,14.0007,13.7045076639991,1.1896231809062
B,A189,16.3056,2.3042,26.21,33.2,1.02161276736551,14.0014,13.7051928551228,1.18973882180032
B,A190,16.3606,2.3151,26.21,33.2,1.02161276736551,14.0455,13.7483598959123,1.19000376218434
B,A191,16.1935,2.2959,26.21,33.2,1.02161276736551,13.8976,13.603588799931,1.19038440797932
B,A192,16.1776,2.2877,26.2,33.2,1.02161587671317,13.8899,13.5960103171926,1.18987847335942
B,A193,16.1905,2.2857,26.2,33.2,1.02161587671317,13.9048,13.6105950552919,1.18955122345698
B,A194,16.2055,2.2877,26.2,33.2,1.02161587671317,13.9178,13.6233199945732,1.18954116958681
B,A195,16.2341,2.2898,26.2,33.2,1.02161587671317,13.9443,13.6492592938775,1.18937589582477
B,A196,16.2492,2.3009,26.2,33.2,1.02161587671317,13.9483,13.6531746598102,1.1901407844603
B,A197,16.2491,2.3049,26.19,33.2,1.02161898529007,13.9442,13.6491198781323,1.19048701638508
B,A198,16.2706,2.2978,26.19,33.2,1.02161898529007,13.9728,13.6771146593685,1.18962225624503
B,A199,16.2948,2.3042,26.18,33.2,1.0216220930961,13.9906,13.6944963255449,1.18987946782714
B,A200,16.3302,2.3091,26.17,33.2,1.02162520013113,14.0211,13.7243090697061,1.18987410710867
S,201,10.0171,1.4338,26.09,33.2,1.02165002864203,8.5833,8.40140924912307,1.19231187327835
S,202,10.069,1.4394,26.06,33.2,1.02165932659844,8.6296,8.44665122250857,1.19207005649389
S,204,10.07,1.4275,26.09,33.2,1.02165002864203,8.6425,8.45935472784898,1.19039812420309
S,205,10.1074,1.4352,26.19,33.2,1.02161898529007,8.6722,8.48868328101566,1.19069114318407
S,207,10.1113,1.4396,26.26,33.2,1.02159720906974,8.6717,8.4883747948924,1.19119386741549
S,208,10.094,1.4188,26.24,33.2,1.02160343469908,8.6752,8.49174905383451,1.18868326607485
S,209,10.1204,1.4403,26.21,33.2,1.02161276736551,8.6801,8.49646781762904,1.19113026933398
S,211,10.0843,1.4263,26.38,33.2,1.02155979063902,8.658,8.47527484865485,1.18984931817291
S,214,10.013,1.4121,26.44,33.2,1.02154103990092,8.6009,8.41953447199166,1.1892581511851
S,215,10.1486,1.4533,26.47,33.2,1.02153165416194,8.6953,8.51202208426286,1.19226664352327
S,216,10.0946,1.4146,26.32,33.2,1.02157851370348,8.68,8.496654817585,1.18806756502663
S,217,10.096,1.4086,26.42,33.2,1.02154729322028,8.6874,8.50415840525036,1.18718390684807
S,218,10.1044,1.4166,26.42,33.2,1.02154729322028,8.6878,8.50454996813018,1.18811695361484
S,220,10.0893,1.4114,26.41,33.2,1.02155041872764,8.6779,8.49483279622017,1.18769848000885
S,221,10.1333,1.4487,26.39,33.2,1.02155666743712,8.6846,8.50133945264918,1.19196510813861
S,222,10.1323,1.4172,26.38,33.2,1.02155979063902,8.7151,8.53116976594039,1.1876800342729
S,224,10.0844,1.4081,26.36,33.2,1.02156603473657,8.6763,8.49313671850626,1.18735872672654
S,225,10.0275,1.4291,26.35,33.2,1.02156915563199,8.5984,8.41685553307513,1.19135940501719
S,226,10.0067,1.4031,26.36,33.2,1.02156603473657,8.6036,8.42197147071222,1.18816598165866
S,227,10.0339,1.4139,26.36,33.2,1.02156603473657,8.62,8.4380252542586,1.18912893688437
S,228,10.0645,1.4428,26.35,33.2,1.02156915563199,8.6217,8.43966358270304,1.19252383716183
S,229,10.0661,1.424,26.37,33.2,1.02156291307221,8.6421,8.4596845572732,1.18989070240754
S,230,10.0998,1.3997,26.34,33.2,1.02157227575836,8.7001,8.51638225356255,1.18592610093037
S,231,10.1116,1.4221,26.39,33.2,1.02155666743712,8.6895,8.50613605391095,1.18874186068901
S,232,10.1242,1.4352,26.37,33.2,1.02156291307221,8.689,8.50559460294915,1.19029891178797
S,234,10.0738,1.4292,26.36,33.2,1.02156603473657,8.6446,8.46210592957818,1.19046016249789
S,235,10.0915,1.4179,26.34,33.2,1.02157227575836,8.6736,8.49044184716269,1.18857182955353
S,237,10.0278,1.4175,26.33,33.2,1.02157539511556,8.6103,8.42845280061391,1.18975572827193
S,238,10.1094,1.4148,26.32,33.2,1.02157851370348,8.6946,8.51094642591873,1.18781149523083
S,239,10.0457,1.4237,26.31,33.2,1.02158163152201,8.622,8.43985417705138,1.19026938016477
S,241,10.047,1.419,26.26,33.2,1.02159720906974,8.628,8.44559864044324,1.18961371807182
S,242,10.0163,1.3932,26.26,33.2,1.02159720906974,8.6231,8.44080222953246,1.18665261045392
S,243,10.0742,1.4168,26.28,33.2,1.02159098036008,8.6574,8.47442877476123,1.18877629014987
S,244,10.0676,1.428,26.25,33.2,1.0216003222695,8.6396,8.45692763761762,1.1904559707024
S,245,10.1328,1.425,26.33,33.2,1.02157539511556,8.7078,8.5238936270729,1.18875251655148
S,247,10.1079,1.4121,26.36,33.2,1.02156603473657,8.6958,8.5122250586986,1.18745685532254
S,250,10.0778,1.4294,26.33,33.2,1.02157539511556,8.6484,8.46574813895327,1.19042048435498
S,251,10.0425,1.4215,26.33,33.2,1.02157539511556,8.621,8.43892681951761,1.19002098427654
S,252,10.0634,1.4282,26.34,33.2,1.02157227575836,8.6352,8.4528527299644,1.19053298590266
S,253,10.0603,1.4344,26.35,33.2,1.02156915563199,8.6259,8.44377490495357,1.1914457826319
S,254,10.0346,1.4187,26.36,33.2,1.02156603473657,8.6159,8.43401180837201,1.18977779827616
S,256,10.0719,1.4287,26.35,33.2,1.02156915563199,8.6432,8.46070963708073,1.19043205972439
S,257,10.1273,1.4425,26.31,33.2,1.02158163152201,8.6848,8.50132748281789,1.19126101429081
S,258,10.0774,1.4192,26.31,33.2,1.02158163152201,8.6582,8.47528942655373,1.18903314008684
S,260,10.078,1.4287,26.29,33.2,1.02158786485043,8.6493,8.46652578558805,1.19033476720227
S,261,10.1769,1.433,26.26,33.2,1.02159720906974,8.7439,8.55904844137362,1.18902236267362
S,266,10.104,1.43,26.25,33.2,1.0216003222695,8.674,8.49060029731645,1.19002186490789
S,262,10.0389,1.4016,26.25,33.2,1.0216003222695,8.6373,8.45467626792845,1.18737840242104
S,263,10.0878,1.4412,26.27,33.2,1.02159409509989,8.6466,8.46383122364714,1.19187159259694
S,264,10.0464,1.3983,26.26,33.2,1.02159720906974,8.6481,8.46527371377111,1.18677792823837
S,265,10.0972,1.4118,26.07,33.2,1.02165622805185,8.6854,8.5012940375862,1.18772506342657
S,268,10.0483,1.421,26.05,33.2,1.02166242437268,8.6273,8.44437437864794,1.18994013640699
S,269,10.1117,1.4325,26.04,33.2,1.02166552137443,8.6792,8.49514818541005,1.19029118495735
S,270,10.0516,1.4173,26.03,33.2,1.0216686176036,8.6343,8.4511747265492,1.1893731138256
S,272,10.093,1.44294,26.01,33.2,1.0216748077437,8.65006,8.46654917439246,1.19210315703673
S,273,10.0871,1.4285,25.99,33.2,1.02168099479207,8.6586,8.47485667653256,1.19023841759258
S,274,10.1163,1.4319,25.98,33.2,1.02168408715656,8.6844,8.50008344963997,1.19014125684007
S,275,10.1239,1.4195,25.96,33.2,1.0216902695656,8.7044,8.51960741849966,1.18830592804273
S,276,10.0443,1.4228,25.97,33.2,1.02168717874777,8.6215,8.43849289619836,1.19029548564591
S,277,10.1045,1.4502,25.97,33.2,1.02168717874777,8.6543,8.47059665621637,1.19289117521427
S,279,10.1388,1.4085,25.96,33.2,1.0216902695656,8.7303,8.54495756694632,1.18652432391461
S,281,10.1314,1.4583,25.91,33.2,1.02170571204981,8.6731,8.48884360507243,1.19349589547699
S,282,10.1918,1.4431,25.93,33.2,1.02169953737757,8.7487,8.56288926434828,1.19022910204313
S,283,10.1429,1.4277,25.92,33.2,1.02170262510067,8.7152,8.5300749806151,1.18907512806747
S,284,10.0752,1.4111,25.93,33.2,1.02169953737757,8.6641,8.48008605566998,1.18810115060843
S,285,10.1048,1.4291,25.92,33.2,1.02170262510067,8.6757,8.49141402484424,1.19000203858101
S,288,10.1631,1.4381,25.92,33.2,1.02170262510067,8.725,8.53966681267978,1.19010497984649
S,289,10.2081,1.4472,25.93,33.2,1.02169953737757,8.7609,8.5748301525974,1.19047255961191
S,291,10.1445,1.444,25.9,33.2,1.02170879822487,8.7005,8.51563578107222,1.19127922574475
