Time,Untitled,Untitled 1,Untitled 2,Untitled 3,Salinity,Untitled 5,Untitled 6,Untitled 7,,
08/19/2020 13:00:00,2.593937,198.9534,154.3782,52.81402,31.21724,29.73167,30.11046,-12.8522,,
08/19/2020 13:05:00,2.622542,200.0267,153.4322,52.94924,31.36774,30.29147,30.01612,-11.5812,,
08/19/2020 13:10:00,2.594839,198.2488,154.2136,52.42885,31.73243,29.57788,28.92507,-12.9137,,
08/19/2020 13:15:00,2.570497,198.1873,153.839,52.54358,31.69069,29.66195,29.10554,-13.9593,,
08/19/2020 13:20:00,2.597462,198.1873,152.9737,52.24447,30.60745,29.89777,30.47961,-15.6813,,
08/19/2020 13:25:00,2.585086,199.744,155.3774,53.15001,31.93461,29.68451,29.35574,-11.5402,,
08/19/2020 13:30:00,2.603035,200.166,153.845,54.35058,32.47395,30.21765,29.75771,-11.5607,,
08/19/2020 13:35:00,2.596396,200.2233,153.5743,53.15821,31.07916,30.30788,30.68264,-11.1712,,
08/19/2020 13:40:00,2.573939,197.9661,151.4177,52.62553,31.29931,30.26482,29.78847,-13.0162,,
08/19/2020 13:45:00,2.653441,201.2311,152.9234,54.32599,31.49118,30.77131,31.23432,-14.3693,,
08/19/2020 13:50:00,2.544024,198.3471,151.2405,53.77693,32.63024,30.42271,28.95378,-11.2737,,
08/19/2020 13:55:00,2.611805,199.6047,156.115,53.93673,32.80532,29.44869,28.85739,-13.8158,,
08/19/2020 14:00:00,2.599511,199.1787,153.8184,53.78922,32.72562,29.94698,28.82663,-11.4172,,
08/19/2020 14:05:00,2.606887,199.9529,154.1669,52.71978,31.51159,30.07001,29.55878,-11.9297,,
08/19/2020 14:10:00,2.565169,198.6216,154.056,53.52288,32.43628,29.72552,28.98454,-12.9752,,
08/19/2020 14:15:00,2.56853,198.9124,155.2197,53.40406,32.11833,29.4938,29.33729,-10.3307,,
08/19/2020 14:20:00,2.558695,199.1254,152.4631,53.74825,31.86174,30.30378,30.07354,-10.6177,,
08/19/2020 14:25:00,2.614264,200.0144,154.9726,52.74436,31.44652,29.86906,29.68388,-12.8317,,
08/19/2020 14:30:00,2.597626,200.0226,152.4913,54.67428,32.10268,30.54985,30.64163,-11.8477,,
08/19/2020 14:35:00,2.624673,200.1496,151.1022,54.42023,32.3723,30.97431,29.9792,-13.7133,,
08/19/2020 14:40:00,2.613936,200.8993,153.9991,55.14139,33.2153,30.3817,29.45213,-13.6723,,
08/19/2020 14:45:00,2.571644,197.0034,151.7901,51.41268,30.29796,29.88751,30.09815,-10.8637,,
08/19/2020 14:50:00,2.622542,200.6289,155.4135,54.39155,32.60514,29.92237,29.6039,-13.8158,,
08/19/2020 14:55:00,2.577627,199.3548,154.9713,52.49851,31.01733,29.68451,30.0961,-13.5903,,
08/19/2020 15:00:00,2.54345,199.1664,154.1074,54.51857,32.51913,29.86496,29.8582,-11.7042,,
08/19/2020 15:05:00,2.599593,201.2639,157.2083,54.73984,32.6191,29.62094,29.92998,-14.2463,,
08/19/2020 15:10:00,2.58107,199.2238,151.2746,54.59643,32.80733,30.66263,29.50956,-13.6723,,
08/19/2020 15:15:00,2.591479,199.0517,156.3603,52.21988,30.97247,29.22928,29.87666,-12.7702,,
08/19/2020 15:20:00,2.577791,199.3221,154.5492,54.17029,33.21012,29.78909,28.50464,-13.3853,,
08/19/2020 15:25:00,2.610739,199.236,148.9283,54.12931,31.82484,31.33316,30.51653,-12.0527,,
08/19/2020 15:30:00,2.60197,199.109,152.8403,53.73595,32.34394,30.1951,29.33524,-11.6017,,
08/19/2020 15:35:00,2.581234,200.1701,155.1497,55.25202,33.44124,29.86496,29.23474,-11.5402,,
08/19/2020 15:40:00,2.545089,199.1172,156.3907,54.00639,33.23056,29.23953,28.31391,-13.1393,,
08/19/2020 15:45:00,2.564432,198.5601,151.1202,53.87527,31.80922,30.51704,30.28273,-13.1598,,
08/19/2020 15:50:00,2.616558,200.7846,152.7649,55.49378,33.34461,30.68929,29.61005,-12.6882,,
08/19/2020 15:55:00,2.595904,199.5515,151.7759,54.54316,32.18868,30.61546,30.37912,-11.7657,,
08/19/2020 16:00:00,2.625164,201.0303,153.1487,55.79289,33.2677,30.65238,30.01407,-11.1097,,
08/19/2020 16:05:00,2.612788,199.9529,154.1819,53.36308,31.39336,30.06591,30.40168,-12.9957,,
08/19/2020 16:10:00,2.597626,198.2119,154.1524,51.88389,30.77129,29.58403,29.8418,-12.5652,,
08/19/2020 16:15:00,2.60492,199.4777,151.8479,53.39586,31.37808,30.57445,30.4591,-10.6792,,
08/19/2020 16:20:00,2.582053,199.8341,152.1443,54.50218,32.17776,30.59291,30.35451,-12.9342,,
08/19/2020 16:25:00,2.565989,199.83,157.2375,53.9818,32.53101,29.21493,29.30447,-12.3807,,
08/19/2020 16:30:00,2.568776,198.2979,152.4608,53.3303,32.51831,30.07001,28.67076,-11.0072,,
08/19/2020 16:35:00,2.61787,199.6252,154.933,53.68678,32.23092,29.77063,29.45419,-12.8522,,
08/19/2020 16:40:00,2.570333,198.8551,154.8082,53.72776,32.81185,29.58813,28.64,-11.6837,,
08/19/2020 16:45:00,2.621558,200.1783,152.0967,54.83408,32.50185,30.70364,30.19864,-12.9957,,
08/19/2020 16:50:00,2.579758,197.9251,154.2178,52.98611,32.40125,29.4856,28.49644,-14.4923,,
08/19/2020 16:55:00,2.587708,199.3303,153.2543,53.87117,32.16194,30.14383,29.74336,-12.4832,,
08/19/2020 17:00:00,2.584676,199.9734,154.6113,53.60483,31.95634,29.95518,29.78437,-13.3648,,
