Date,,Tank,Salinity,Notes
2020-10-21,11:30,1,33.8,
2020-10-21,11:30,2,33.7,
2020-10-21,11:30,3,33.6,
2020-10-21,11:30,4,33.6,
2020-10-21,11:30,5,33.7,
2020-10-21,11:30,6,33.7,
2020-10-21,11:30,7,33.6,
2020-10-21,11:30,8,33.6,
2020-10-21,11:30,VAT,33.1,
2020-10-22,8:30,1,33.5,
2020-10-22,8:30,2,33.5,
2020-10-22,8:30,3,33.3,
2020-10-22,8:30,4,33.3,
2020-10-22,8:30,5,33.5,
2020-10-22,8:30,6,33.5,
2020-10-22,8:30,7,33.3,
2020-10-22,8:30,8,33.3,
2020-10-22,8:30,VAT,32.5,
2020-10-23,9:00,1,33.3,
2020-10-23,9:00,2,33.1,
2020-10-23,9:00,3,32.8,
2020-10-23,9:00,4,32.8,
2020-10-23,9:00,5,33.3,
2020-10-23,9:00,6,33.3,
2020-10-23,9:00,7,32.9,
2020-10-23,9:00,8,32.9,
2020-10-23,9:00,VAT,32,
2020-10-24,17:00,1,32.2,
2020-10-24,17:00,2,32.2,
2020-10-24,17:00,3,31.9,
2020-10-24,17:00,4,31.9,
2020-10-24,17:00,5,32.3,
2020-10-24,17:00,6,32.3,
2020-10-24,17:00,7,32,
2020-10-24,17:00,8,32,
2020-10-24,17:00,VAT,31.3,
2020-10-25,14:45,1,31.6,
2020-10-25,14:45,2,31.7,
2020-10-24,14:45,3,31.4,
2020-10-24,14:45,4,31.4,
2020-10-24,14:45,5,31.7,
2020-10-24,14:45,6,31.8,
2020-10-24,14:45,7,31.4,
2020-10-24,14:45,8,31.4,
2020-10-24,14:45,VAT,31,
