"Treatment","Temp_mean.1","Temp_sd.1","Temp_mean.2","Temp_sd.2","Temp_mean.3","Temp_sd.3","Temp_mean.4","Temp_sd.4","Temp_mean.5","Temp_sd.5","Temp_mean.6","Temp_sd.6","Temp_mean.7","Temp_sd.7","Temp_mean.8","Temp_sd.8","Temp_mean.9","Temp_sd.9"
"NH4+Placebo",6.564625,3.48623337213675,7.835,3.1819412313869,7.5249,2.632617432223,10.3444166666667,6.14964169626363,22.0749285714286,5.22589997349423,9.72972222222222,4.26424837531179,3.24944444444444,1.12700347177674,7.94024137931035,3.60124653034096,5.05417647058824,2.41168313500593
"NH4+Disease",7.512375,2.94078944393702,8.18483333333333,3.17247470701764,8.4674,1.90265453161278,8.98025,3.15926571229916,21.8678571428571,4.67170536902158,10.2230555555556,4.81866835158218,3.92138888888889,1.90113522894353,12.7088245614035,4.10667115419188,6.60867647058824,3.2516518946025
"Ambient+Placebo",NA,NA,0.2555,0.0190918830920368,NA,NA,0.6215,0.374871088953701,7.52016666666667,2.51831073671751,2.96277777777778,1.70219456855154,1.42305555555556,0.36920624854985,6.35829310344828,3.58707658915207,2.80911764705882,2.57346890950017
"Ambient+Disease",NA,NA,0.4115,0.00777817459305199,NA,NA,0.72575,0.323230954582014,8.67683333333333,1.63006508050037,5.1575,2.1323660567548,1.97944444444444,0.742559067181843,12.85725,6.94332884861433,3.76035294117647,3.6451388790299
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.876666666666667,0.635164020811423,1.4725,0.753585872125179,NA,NA,0.216666666666667,0.112915897906362,0.596833333333333,0.561642046038923
