Plate ID,Well ,Sample ID,User ID,Date ,Time ,Conc. ,Units ,A260 ,A280 ,260/280 ,260/230 ,Conc. Factor (ng/ul),Cursor Pos.,Cursor abs.,340 raw,Measurement Type,NA Type,Oligo ,Ext.C. (L/(mol*cm)),M.W. (g/mol),Phosphate ,DS ,# Bases,%GC ,Mod. Weight,Serial #,Config. 
Plate1NormalizedResistada,A1,,Default,03/12/21,10:27:00 AM,1.817,ng/ul,0.036,-0.019,-1.93,-0.65,50,260,0.036,0.03,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/28/16/
Plate1NormalizedResistada,B1,,Default,03/12/21,10:27:00 AM,-0.8798,ng/ul,-0.018,-0.052,0.34,0.12,50,260,-0.018,-0.027,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/36/16/
Plate1NormalizedResistada,C1,,Default,03/12/21,10:27:00 AM,-8.701,ng/ul,-0.174,-0.168,1.04,0.25,50,260,-0.174,-0.068,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/40/16/
Plate1NormalizedResistada,D1,,Default,03/12/21,10:27:00 AM,-2,ng/ul,-0.04,-0.082,0.49,0.15,50,260,-0.04,0.023,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/28/16/
Plate1NormalizedResistada,E1,,Default,03/12/21,10:27:00 AM,-0.482,ng/ul,-0.01,-0.056,0.17,0.12,50,260,-0.01,0.019,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/32/16/
Plate1NormalizedResistada,F1,,Default,03/12/21,10:27:00 AM,-1.193,ng/ul,-0.024,-0.06,0.4,0.37,50,260,-0.024,0.013,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/32/16/
Plate1NormalizedResistada,G1,,Default,03/12/21,10:27:00 AM,-0.8914,ng/ul,-0.018,-0.071,0.25,0.24,50,260,-0.018,0.017,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/32/16/
Plate1NormalizedResistada,H1,,Default,03/12/21,10:27:00 AM,-0.8378,ng/ul,-0.017,-0.06,0.28,0.21,50,260,-0.017,0.049,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/36/16/
Plate1NormalizedResistada,A2,,Default,03/12/21,10:35:00 AM,1.423,ng/ul,0.028,0.015,1.96,1.31,50,260,0.028,0.004,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/28/16/
Plate1NormalizedResistada,B2,,Default,03/12/21,10:35:00 AM,1.483,ng/ul,0.03,0.002,13.55,2.14,50,260,0.03,0.044,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/36/16/
Plate1NormalizedResistada,C2,,Default,03/12/21,10:35:00 AM,2.71,ng/ul,0.054,0.031,1.77,2.34,50,260,0.054,0.007,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/40/16/
Plate1NormalizedResistada,D2,,Default,03/12/21,10:35:00 AM,1.684,ng/ul,0.034,0.021,1.61,1.25,50,260,0.034,0.008,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/28/16/
Plate1NormalizedResistada,E2,,Default,03/12/21,10:35:00 AM,1.702,ng/ul,0.034,0.02,1.67,1.82,50,260,0.034,-0.005,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/32/16/
Plate1NormalizedResistada,F2,,Default,03/12/21,10:35:00 AM,1.633,ng/ul,0.033,0.012,2.81,1.72,50,260,0.033,0.003,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/32/16/
Plate1NormalizedResistada,G2,,Default,03/12/21,10:35:00 AM,1.37,ng/ul,0.027,0.014,1.94,2.31,50,260,0.027,-0.03,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/32/16/
Plate1NormalizedResistada,H2,,Default,03/12/21,10:35:00 AM,1.289,ng/ul,0.026,0.011,2.32,2.29,50,260,0.026,-0.005,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/36/16/
Plate1NormalizedResistada,A3,,Default,03/12/21,10:36:00 AM,1.353,ng/ul,0.027,0.015,1.78,-0.76,50,260,0.027,0.018,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/28/16/
Plate1NormalizedResistada,B3,,Default,03/12/21,10:36:00 AM,1.65,ng/ul,0.033,0.008,3.96,3.44,50,260,0.033,0.027,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/36/16/
Plate1NormalizedResistada,C3,,Default,03/12/21,10:36:00 AM,1.135,ng/ul,0.023,0.015,1.49,8.34,50,260,0.023,-0.004,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/40/16/
Plate1NormalizedResistada,D3,,Default,03/12/21,10:36:00 AM,1.847,ng/ul,0.037,0.027,1.34,1.3,50,260,0.037,-0.021,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/28/16/
Plate1NormalizedResistada,E3,,Default,03/12/21,10:36:00 AM,1.111,ng/ul,0.022,0.018,1.22,1.11,50,260,0.022,-0.026,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/32/16/
Plate1NormalizedResistada,F3,,Default,03/12/21,10:36:00 AM,1.535,ng/ul,0.031,0.004,7.37,1.69,50,260,0.031,0.023,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/32/16/
Plate1NormalizedResistada,G3,,Default,03/12/21,10:36:00 AM,0.6022,ng/ul,0.012,0.003,4.25,-10.08,50,260,0.012,0.018,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/32/16/
Plate1NormalizedResistada,H3,,Default,03/12/21,10:36:00 AM,1.767,ng/ul,0.035,0.021,1.71,1.87,50,260,0.035,0.005,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/36/16/
Plate1NormalizedResistada,A4,,Default,03/12/21,10:37:00 AM,2.327,ng/ul,0.047,0.031,1.48,1.27,50,260,0.047,-0.017,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/28/16/
Plate1NormalizedResistada,B4,,Default,03/12/21,10:37:00 AM,1.574,ng/ul,0.031,0.012,2.56,1.95,50,260,0.031,0.035,Measure,DNA-50,,,,,,,,,BG01695000C3404,-0.61/36/16/
